#' @name Skye_SKL310.spct
#'
#' @title Skye Lux sensor SKL310
#'
#' @note
#' Spectral data digitized from figure in manufacturer's manual.
#' This is typical measured data, and for specific sensor units the
#' calibration data supplied with the sensor must be used as individual
#' may differ in their spectral response. Furthermore, the digigitizing
#' process from figures with a linear scale is prone to errors, which
#' are specially noticeable in regions of low responsivity.
#'
#' Manufacturer: Skye Instruments, Llandrindod Wells, Powys, UK
#' \url{http://www.skyeinstruments.com/}
#'
#' @references
#' Manufacturer's brochure dated 2007-10-09
#'
w.length,s.response
4.961978921880E2,2.544875832197E1
4.961978921880E2,2.526121898974E1
4.961978921880E2,2.507367965750E1
4.961978921880E2,2.486113508096E1
4.958838406669E2,2.442215341383E1
4.958489460535E2,2.413617514726E1
4.958489460535E2,2.394863581502E1
4.958392531053E2,2.371734264279E1
4.956395783727E2,2.336737917565E1
4.954999999189E2,2.301113130478E1
4.954999999189E2,2.282359197254E1
4.954999999189E2,2.263605264031E1
4.954903069707E2,2.240475946807E1
4.952906322382E2,2.205479600094E1
4.951510537843E2,2.169854813007E1
4.951510537843E2,2.151100879783E1
4.951510537843E2,2.132346946559E1
4.951510537843E2,2.111092488905E1
4.948370022632E2,2.067194322192E1
4.948021076497E2,2.038596495535E1
4.948021076497E2,2.019842562311E1
4.948021076497E2,2.001088629088E1
4.948021076497E2,1.979834171434E1
4.944880561286E2,1.935936004721E1
4.944531615152E2,1.907338178064E1
4.944531615152E2,1.888584244840E1
4.944531615152E2,1.869830311616E1
4.944531615152E2,1.848575853962E1
4.941391099941E2,1.804677687249E1
4.941042153806E2,1.776079860592E1
4.941042153806E2,1.757325927369E1
4.941042153806E2,1.738571994145E1
4.941042153806E2,1.717317536491E1
4.937901638595E2,1.673419369778E1
4.937552692460E2,1.644821543121E1
4.937552692460E2,1.626067609897E1
4.937455762978E2,1.602938292674E1
4.935459015653E2,1.567941945960E1
4.934063231114E2,1.532317158873E1
4.934063231114E2,1.513563225649E1
4.934063231114E2,1.494809292426E1
4.933966301633E2,1.471679975202E1
4.931969554307E2,1.436683628489E1
4.930573769769E2,1.401058841402E1
4.930573769769E2,1.382304908178E1
4.930573769769E2,1.363550974954E1
4.930573769769E2,1.342296517300E1
4.927433254558E2,1.298398350587E1
4.927084308423E2,1.269800523930E1
4.927084308423E2,1.251046590706E1
4.927084308423E2,1.232292657483E1
4.927084308423E2,1.211038199829E1
4.923943793212E2,1.167140033116E1
4.923594847077E2,1.138542206459E1
4.923594847077E2,1.119788273235E1
4.923594847077E2,1.101034340011E1
4.923594847077E2,1.079779882357E1
4.920454331866E2,1.035881715644E1
4.920105385731E2,1.007283888987E1
4.920105385731E2,9.885299557634E0
4.920105385731E2,9.697760225395E0
4.920105385731E2,9.485215648858E0
4.916964870520E2,9.046233981726E0
4.916615924386E2,8.760255715158E0
4.916615924386E2,8.572716382919E0
4.916518994904E2,8.341423210685E0
4.914522247578E2,7.991459743552E0
4.913126463040E2,7.635211872681E0
4.913126463040E2,7.447672540443E0
4.913126463040E2,7.260133208204E0
4.913029533558E2,7.028840035970E0
4.911032786233E2,6.678876568838E0
4.909637001694E2,6.322628697966E0
4.909637001694E2,6.135089365728E0
4.909637001694E2,5.947550033489E0
4.909637001694E2,5.735005456952E0
4.906496486483E2,5.296023789820E0
4.906147540348E2,5.010045523251E0
4.906147540348E2,4.822506191013E0
4.906064457935E2,4.582281811882E0
4.905565963458E2,4.384946440949E0
4.900477165662E2,3.994519718928E0
4.897366560119E2,3.861180864114E0
4.894864948664E2,3.768218735259E0
4.888496681708E2,3.596658356200E0
4.882593676265E2,3.417258218171E0
4.879540397587E2,3.323656684137E0
4.876545276599E2,3.192544081140E0
4.871049374979E2,3.035001114260E0
4.863692427309E2,2.799419239457E0
4.860406517875E2,2.707393343256E0
4.855114168167E2,2.574844411869E0
4.852119047178E2,2.443731808872E0
4.846623145559E2,2.286188841992E0
4.840720140116E2,2.106788703962E0
4.837666861438E2,2.013187169929E0
4.834671740450E2,1.882074566932E0
4.829175838830E2,1.724531600052E0
4.822196916139E2,1.537376569724E0
4.816293910695E2,1.357976431694E0
4.813240632018E2,1.264374897661E0
4.809896564895E2,1.137449050476E0
4.806576730142E2,1.058969529737E0
4.801261532771E2,9.728601673212E-1
4.798017856897E2,8.963858028001E-1
4.794891881108E2,8.010021830330E-1
4.789948477535E2,7.217934417945E-1
4.785761123920E2,7.032700897169E-1
4.782271662574E2,7.034622406720E-1
4.778782201229E2,7.036543916272E-1
4.775292739883E2,7.038465425824E-1
4.771803278537E2,7.040386935375E-1
4.768313817191E2,7.042308444927E-1
4.764824355846E2,7.044229954479E-1
4.761334894500E2,7.046151464030E-1
4.757845433154E2,7.048072973582E-1
4.754355971808E2,7.049994483133E-1
4.750866510463E2,7.051915992685E-1
4.747377049117E2,7.053837502237E-1
4.743887587771E2,7.055759011788E-1
4.740398126425E2,7.057680521340E-1
4.736908665080E2,7.059602030892E-1
4.733419203734E2,7.061523540443E-1
4.729929742388E2,7.063445049995E-1
4.726440281042E2,7.065366559546E-1
4.722950819697E2,7.067288069098E-1
4.719461358351E2,7.069209578650E-1
4.715971897005E2,7.071131088201E-1
4.712482435659E2,7.073052597753E-1
4.708992974314E2,7.074974107305E-1
4.705503512968E2,7.076895616856E-1
4.702014051622E2,7.078817126408E-1
4.698524590276E2,7.080738635959E-1
4.695035128931E2,7.082660145511E-1
4.691545667585E2,7.084581655063E-1
4.688056206239E2,7.086503164614E-1
4.684566744893E2,7.088424674166E-1
4.681077283548E2,7.090346183718E-1
4.677587822202E2,7.092267693269E-1
4.674098360856E2,7.094189202821E-1
4.670608899510E2,7.096110712372E-1
4.667119438165E2,7.098032221924E-1
4.663629976819E2,7.099953731476E-1
4.660140515473E2,7.101875241027E-1
4.656651054127E2,7.103796750579E-1
4.653161592782E2,7.105718260131E-1
4.649672131436E2,7.107639769682E-1
4.646182670090E2,7.109561279234E-1
4.642693208744E2,7.111482788785E-1
4.639203747399E2,7.113404298337E-1
4.635714286053E2,7.115325807889E-1
4.632224824707E2,7.117247317440E-1
4.628735363361E2,7.119168826992E-1
4.625245902016E2,7.121090336544E-1
4.621756440670E2,7.123011846095E-1
4.618266979324E2,7.124933355647E-1
4.614777517978E2,7.126854865198E-1
4.609310695203E2,7.129865230163E-1
4.605857582413E2,7.297817174409E-1
4.599905766052E2,7.804827485330E-1
4.596482770637E2,7.641499173442E-1
4.593162243531E2,6.982474772500E-1
4.586861827212E2,6.204530280418E-1
4.583372365867E2,6.206451789970E-1
4.579882904521E2,6.208373299522E-1
4.574366232298E2,5.939032560657E-1
4.563897848261E2,4.158708210849E-1
4.555456675101E2,3.408733882804E-1
4.551967213755E2,3.410655392356E-1
4.548477752409E2,3.178152736609E-1
4.544988291063E2,2.711225915564E-1
4.541498829718E2,2.478723259818E-1
4.538009368372E2,2.480644769369E-1
4.534519907026E2,2.482566278921E-1
4.531030445680E2,2.484487788473E-1
4.527540984335E2,2.251985132726E-1
4.524051522989E2,1.550634146383E-1
4.520562061643E2,1.552555655935E-1
4.517072600297E2,1.554477165486E-1
4.513583138952E2,1.556398675038E-1
4.510093677606E2,1.558320184590E-1
4.506604216260E2,1.560241694141E-1
4.503114754914E2,1.562163203693E-1
4.499625293569E2,1.564084713244E-1
4.496135832223E2,1.566006222796E-1
4.492646370877E2,1.567927732348E-1
4.489156909531E2,1.569849241899E-1
4.485667448186E2,2.275043247346E-1
4.482177986840E2,2.511388922195E-1
4.478688525494E2,2.513310431747E-1
4.475199064148E2,2.515231941299E-1
4.471709602803E2,2.517153450850E-1
4.468220141457E2,2.519074960402E-1
4.464730680111E2,2.520996469954E-1
4.461241218765E2,2.757342144803E-1
4.457751757420E2,3.228111984952E-1
4.452284934644E2,3.465546515214E-1
4.448831821854E2,3.633498459461E-1
4.444411837483E2,4.065710007940E-1
4.441118658338E2,4.357297748017E-1
4.436349727832E2,4.412018070026E-1
4.428178572514E2,6.104371595040E-1
4.422857143962E2,6.294841229345E-1
4.419367682616E2,6.296762738896E-1
4.415878221270E2,6.298684248448E-1
4.412388759925E2,6.535029923298E-1
4.408899298579E2,7.005799763446E-1
4.405409837233E2,7.242145438296E-1
4.401920375887E2,7.244066947848E-1
4.398430914542E2,7.245988457399E-1
4.394941453196E2,7.247909966951E-1
4.391451991850E2,7.249831476502E-1
4.387962530504E2,7.251752986054E-1
4.384473069159E2,7.253674495606E-1
4.380983607813E2,7.255596005157E-1
4.377494146467E2,7.257517514709E-1
4.374004685121E2,7.259439024261E-1
4.370515223776E2,7.261360533812E-1
4.367025762430E2,7.263282043364E-1
4.363536301084E2,7.265203552915E-1
4.360046839738E2,7.267125062467E-1
4.356557378393E2,7.269046572019E-1
4.353067917047E2,7.270968081570E-1
4.349578455701E2,7.272889591122E-1
4.346088994355E2,7.274811100674E-1
4.342599533010E2,7.276732610225E-1
4.339110071664E2,7.278654119777E-1
4.335620610318E2,7.280575629328E-1
4.332131148972E2,7.282497138880E-1
4.328641687627E2,7.284418648432E-1
4.325152226281E2,7.286340157983E-1
4.321662764935E2,7.288261667535E-1
4.318173303589E2,7.290183177087E-1
4.314683842244E2,7.292104686638E-1
4.311194380898E2,7.294026196190E-1
4.307704919552E2,7.295947705741E-1
4.304215458206E2,7.297869215293E-1
4.300725996861E2,7.299790724845E-1
4.297236535515E2,7.301712234396E-1
4.293747074169E2,7.303633743948E-1
4.290257612823E2,7.305555253500E-1
4.286768151478E2,7.307476763051E-1
4.283278690132E2,7.309398272603E-1
4.277695551979E2,7.312472687885E-1
4.269320844749E2,7.082660145511E-1
4.265831383403E2,6.615733324466E-1
4.262341922057E2,6.383230668720E-1
4.258852460712E2,6.150728012973E-1
4.255362999366E2,5.449377026630E-1
4.251873538020E2,5.451298536182E-1
4.248384076674E2,5.453220045733E-1
4.168126465722E2,9.248201410192E-1
4.164637004376E2,9.250122919744E-1
4.161147543031E2,9.252044429296E-1
4.157658081685E2,9.253965938847E-1
4.154168620339E2,9.255887448399E-1
4.150679158993E2,9.257808957950E-1
4.147189697648E2,9.259730467502E-1
4.142614626105E2,9.199736669279E-1
4.137419205880E2,8.514953365292E-1
4.133231852265E2,8.329719844516E-1
4.129742390919E2,8.331641354067E-1
4.126252929573E2,8.333562863619E-1
4.122763468227E2,8.335484373170E-1
4.117246796005E2,8.066143634306E-1
4.108805622844E2,7.405473750184E-1
4.105316161499E2,7.407395259736E-1
4.101826700153E2,7.409316769287E-1
4.098337238807E2,7.411238278839E-1
4.094847777461E2,7.413159788391E-1
4.091358316116E2,7.415081297942E-1
4.087868854770E2,7.417002807494E-1
4.084379393424E2,7.418924317045E-1
4.080889932078E2,7.420845826597E-1
4.077400470733E2,7.422767336149E-1
4.073911009387E2,7.424688845700E-1
4.070421548041E2,7.426610355252E-1
4.066932086695E2,7.428531864804E-1
4.063442625350E2,7.430453374355E-1
4.059953164004E2,7.432374883907E-1
4.056463702658E2,7.434296393458E-1
4.052974241312E2,7.436217903010E-1
4.049484779967E2,7.438139412562E-1
4.045995318621E2,7.440060922113E-1
4.042505857275E2,7.441982431665E-1
4.039016395929E2,7.443903941217E-1
4.035526934584E2,7.445825450768E-1
4.032037473238E2,7.447746960320E-1
4.028548011892E2,7.449668469871E-1
4.025058550546E2,7.451589979423E-1
4.021569089201E2,7.453511488975E-1
4.018079627855E2,7.455432998526E-1
4.014590166509E2,7.457354508078E-1
4.011100705163E2,7.459276017630E-1
4.007611243818E2,7.461197527181E-1
4.004121782472E2,7.463119036733E-1
4.000632321126E2,7.465040546284E-1
3.997142859780E2,7.466962055836E-1
3.993653398435E2,7.468883565388E-1
3.990163937089E2,7.470805074939E-1
3.986674475743E2,7.472726584491E-1
3.983185014397E2,7.474648094043E-1
3.979695553052E2,7.476569603594E-1
3.976206091706E2,7.478491113146E-1
3.972716630360E2,7.480412622697E-1
3.969227169014E2,7.482334132249E-1
3.965737707669E2,7.484255641801E-1
3.962248246323E2,7.486177151352E-1
3.958758784977E2,7.488098660904E-1
3.955269323631E2,7.490020170456E-1
3.951779862286E2,7.491941680007E-1
3.948290400940E2,7.493863189559E-1
3.944800939594E2,7.495784699110E-1
3.941311478248E2,7.497706208662E-1
3.937822016903E2,7.499627718214E-1
3.934332555557E2,7.501549227765E-1
3.930843094211E2,7.503470737317E-1
3.927353632865E2,7.505392246869E-1
3.923864171520E2,7.507313756420E-1
3.920374710174E2,7.509235265972E-1
3.916885248828E2,7.511156775523E-1
3.913395787482E2,7.513078285075E-1
3.909906326137E2,7.514999794627E-1
3.906416864791E2,7.516921304178E-1
3.902927403445E2,7.518842813730E-1
3.899437942099E2,7.520764323282E-1
3.895948480754E2,7.522685832833E-1
3.892459019408E2,7.524607342385E-1
3.888969558062E2,7.526528851936E-1
3.885480096716E2,7.528450361488E-1
3.881990635371E2,7.530371871040E-1
3.878501174025E2,7.532293380591E-1
3.875011712679E2,7.534214890143E-1
3.871522251333E2,7.536136399695E-1
3.868032789988E2,7.538057909246E-1
3.864543328642E2,7.539979418798E-1
3.861053867296E2,7.541900928349E-1
3.857564405950E2,7.543822437901E-1
3.854074944605E2,7.545743947453E-1
3.850585483259E2,7.547665457004E-1
3.847096021913E2,7.549586966556E-1
3.843606560567E2,7.551508476108E-1
3.840117099222E2,7.553429985659E-1
3.836627637876E2,7.555351495211E-1
3.833138176530E2,7.557273004762E-1
3.829648715184E2,7.559194514314E-1
3.826159253839E2,7.561116023866E-1
3.822669792493E2,7.563037533417E-1
3.819180331147E2,7.564959042969E-1
3.815690869801E2,7.566880552521E-1
3.812201408456E2,7.568802062072E-1
3.808711947110E2,7.570723571624E-1
3.805222485764E2,7.572645081175E-1
3.801733024418E2,7.574566590727E-1
3.798243563073E2,7.576488100279E-1
3.794754101727E2,7.578409609830E-1
3.791264640381E2,7.580331119382E-1
3.787775179035E2,7.582252628934E-1
3.784285717690E2,7.584174138485E-1
3.778702579536E2,7.587248553768E-1
3.770327872307E2,7.591860176692E-1
3.766838410961E2,7.593781686243E-1
3.763348949615E2,7.595703195795E-1
3.759859488269E2,7.597624705347E-1
3.756370026924E2,7.599546214898E-1
3.752880565578E2,7.601467724450E-1
3.749391104232E2,7.603389234001E-1
3.745901642886E2,7.605310743553E-1
3.742412181541E2,7.607232253105E-1
3.738922720195E2,7.609153762656E-1
3.735433258849E2,7.611075272208E-1
3.731943797503E2,7.612996781760E-1
3.728454336158E2,7.614918291311E-1
3.724964874812E2,7.616839800863E-1
3.721475413466E2,7.618761310414E-1
3.717985952120E2,7.620682819966E-1
3.714496490775E2,7.622604329518E-1
3.711007029429E2,7.624525839069E-1
3.707517568083E2,7.626447348621E-1
3.701057910473E2,8.087689703909E-1
3.693908668835E2,7.821480568111E-1
3.688674476816E2,6.831967199342E-1
3.683091338663E2,6.702201254289E-1
3.679601877317E2,6.704122763841E-1
3.675647154459E2,6.518761142427E-1
3.667118744765E2,4.947233968029E-1
3.663068477131E2,4.614572626904E-1
3.658610274850E2,4.208459753159E-1
3.655175647897E2,3.943554041340E-1
3.648196725205E2,3.673902200929E-1
3.644707263860E2,3.206975379884E-1
3.641217802514E2,2.974472724137E-1
3.637728341168E2,2.976394233689E-1
3.634238879822E2,2.978315743240E-1
3.630749418477E2,2.980237252792E-1
3.627259957131E2,2.747734597045E-1
3.623770495785E2,2.046383610702E-1
3.620281034439E2,2.048305120254E-1
3.616791573094E2,2.050226629805E-1
3.613302111748E2,2.052148139357E-1
3.609812650402E2,2.054069648909E-1
3.606323189056E2,2.055991158460E-1
3.602833727711E2,2.057912668012E-1
3.599344266365E2,2.059834177564E-1
3.595854805019E2,2.061755687115E-1
3.592365343673E2,2.063677196667E-1
3.588875882328E2,2.065598706218E-1
3.585386420982E2,2.067520215770E-1
3.581896959636E2,2.069441725322E-1
3.578407498290E2,2.071363234873E-1
3.574918036945E2,2.073284744425E-1
3.571428575599E2,2.075206253977E-1
3.567939114253E2,2.077127763528E-1
3.564449652907E2,2.079049273080E-1
3.560960191562E2,2.080970782631E-1
3.557470730216E2,2.082892292183E-1
3.553981268870E2,2.084813801735E-1
3.550491807524E2,2.086735311286E-1
3.547002346179E2,2.088656820838E-1
3.543512884833E2,2.090578330390E-1
3.540023423487E2,2.092499839941E-1
3.536533962141E2,2.094421349493E-1
3.533044500796E2,2.096342859044E-1
3.529555039450E2,2.098264368596E-1
3.526065578104E2,2.100185878148E-1
3.522576116758E2,2.102107387699E-1
3.519086655413E2,2.104028897251E-1
3.515597194067E2,2.105950406803E-1
3.512107732721E2,2.107871916354E-1
3.508618271375E2,2.109793425906E-1
5.056194378216E2,6.285766702778E1
5.059683839562E2,6.304501420907E1
5.061428570234E2,6.370130579642E1
5.061428570234E2,6.388884512866E1
5.061573964457E2,6.413628485241E1
5.063173300907E2,6.435759738378E1
5.064918031580E2,6.463881030666E1
5.064918031580E2,6.482634963890E1
5.066226579585E2,6.501381691453E1
5.066759691735E2,6.524508606790E1
5.068756439060E2,6.559504953503E1
5.070152223599E2,6.595129740590E1
5.070152223599E2,6.613883673814E1
5.070152223599E2,6.632637607038E1
5.070152223599E2,6.655142326906E1
5.072405834051E2,6.701054727445E1
5.073641684945E2,6.745141991285E1
5.073641684945E2,6.763895924509E1
5.073641684945E2,6.782649857733E1
5.074077867613E2,6.801401389070E1
5.076040689620E2,6.834209963720E1
5.077131146290E2,6.876400308757E1
5.077131146290E2,6.895154241981E1
5.077131146290E2,6.913908175205E1
5.077567328958E2,6.932659706541E1
5.079530150965E2,6.965468281192E1
5.080620607636E2,7.007658626228E1
5.080620607636E2,7.026412559452E1
5.080620607636E2,7.045166492676E1
5.081056790304E2,7.063918024013E1
5.083019612311E2,7.096726598663E1
5.084110068982E2,7.138916943700E1
5.084110068982E2,7.157670876924E1
5.084110068982E2,7.176424810148E1
5.084546251650E2,7.195176341484E1
5.086509073657E2,7.227984916135E1
5.087599530328E2,7.270175261171E1
5.087599530328E2,7.288929194395E1
5.087599530328E2,7.307683127619E1
5.088035712996E2,7.326434658956E1
5.089998535003E2,7.359243233606E1
5.091088991673E2,7.401433578643E1
5.091088991673E2,7.420187511867E1
5.091088991673E2,7.438941445091E1
5.091088991673E2,7.457695378314E1
5.091612410875E2,7.480301404437E1
5.092833722346E2,7.495193637214E1
5.094055033817E2,7.510085869992E1
5.094578453019E2,7.532691896114E1
5.094578453019E2,7.551445829338E1
5.094578453019E2,7.570199762562E1
5.094578453019E2,7.588953695786E1
5.095014635687E2,7.607705227123E1
5.096977457694E2,7.640513801773E1
5.098067914365E2,7.682704146810E1
5.098067914365E2,7.701458080034E1
5.098067914365E2,7.720212013257E1
5.098504097033E2,7.738963544594E1
5.100466919040E2,7.771772119245E1
5.101557375711E2,7.813962464281E1
5.101557375711E2,7.832716397505E1
5.101993558379E2,7.851467928842E1
5.103956380386E2,7.884276503492E1
5.105570256258E2,7.930318941427E1
5.106791567729E2,7.945211174205E1
5.108012879200E2,7.960103406983E1
5.109059717604E2,7.986561526003E1
5.110281029075E2,8.001453758781E1
5.111502340546E2,8.016345991559E1
5.112549178950E2,8.042804110579E1
5.113770490421E2,8.057696343357E1
5.114991801892E2,8.072588576135E1
5.116038640295E2,8.099046695155E1
5.117259951766E2,8.113938927933E1
5.118481263237E2,8.128831160711E1
5.119528101641E2,8.155289279731E1
5.120749413112E2,8.170181512509E1
5.121970724583E2,8.185073745287E1
5.122494143785E2,8.207679771409E1
5.123017562987E2,8.230285797531E1
5.124238874458E2,8.245178030309E1
5.125460185929E2,8.260070263087E1
5.126507024333E2,8.286528382107E1
5.127728335804E2,8.301420614885E1
5.128949647275E2,8.316312847663E1
5.129996485678E2,8.342770966683E1
5.131217797149E2,8.357663199461E1
5.132439108620E2,8.372555432239E1
5.133485947024E2,8.399013551259E1
5.134707258495E2,8.413905784037E1
5.135928569966E2,8.428798016815E1
5.136975408370E2,8.455256135836E1
5.138196719841E2,8.470148368613E1
5.139418031312E2,8.485040601391E1
5.139941450514E2,8.507646627513E1
5.140464869716E2,8.530252653635E1
5.141686181187E2,8.545144886413E1
5.142907492658E2,8.560037119191E1
5.143954331061E2,8.586495238212E1
5.145175642532E2,8.601387470989E1
5.146396954003E2,8.616279703767E1
5.147443792407E2,8.642737822788E1
5.148665103878E2,8.657630055565E1
5.149886415349E2,8.672522288343E1
5.150933253753E2,8.698980407364E1
5.152154565224E2,8.713872640141E1
5.153375876695E2,8.728764872919E1
5.154422715099E2,8.755222991940E1
5.155644026570E2,8.770115224717E1
5.156865338041E2,8.785007457495E1
5.157824939911E2,8.807611081730E1
5.159787761918E2,8.840419656381E1
5.161401637790E2,8.886462094316E1
5.162622949261E2,8.901354327093E1
5.163844260732E2,8.916246559871E1
5.164891099136E2,8.942704678892E1
5.166112410607E2,8.957596911669E1
5.167333722078E2,8.972489144447E1
5.168380560482E2,8.998947263468E1
5.169601871953E2,9.013839496246E1
5.170823183424E2,9.028731729023E1
5.171870021827E2,9.055189848044E1
5.173091333298E2,9.070082080822E1
5.174312644769E2,9.084974313599E1
5.175359483173E2,9.111432432620E1
5.176580794644E2,9.126324665398E1
5.177802106115E2,9.141216898175E1
5.178325525317E2,9.163822924298E1
5.178848944519E2,9.186428950420E1
5.180070255990E2,9.201321183198E1
5.181291567461E2,9.216213415975E1
5.182338405865E2,9.242671534996E1
5.183559717336E2,9.257563767774E1
5.184781028807E2,9.272456000551E1
5.185827867210E2,9.298914119572E1
5.187049178681E2,9.313806352350E1
5.188270490152E2,9.328698585127E1
5.189317328556E2,9.355156704148E1
5.191701793809E2,9.384107981812E1
5.193120841423E2,9.412043528177E1
5.198341463314E2,9.441635575901E1
5.199792982305E2,9.459040089010E1
5.201821231712E2,9.476259096385E1
5.206241216083E2,9.501240001563E1
5.209730677429E2,9.519974719691E1
5.213220138775E2,9.538709437820E1
5.216709600120E2,9.557444155948E1
5.220199061466E2,9.576178874076E1
5.223688522812E2,9.594913592205E1
5.227177984158E2,9.613648310333E1
5.230667445503E2,9.632383028461E1
5.234156906849E2,9.651117746590E1
5.237646368195E2,9.669852464718E1
5.241135829541E2,9.688587182846E1
5.244625290886E2,9.707321900975E1
5.248114752232E2,9.726056619103E1
5.251604213578E2,9.744791337231E1
5.255093674924E2,9.763526055360E1
5.258583136269E2,9.782260773488E1
5.262072597615E2,9.800995491616E1
5.265562058961E2,9.819730209745E1
5.269051520307E2,9.838464927873E1
5.272540981652E2,9.857199646001E1
5.276030442998E2,9.875934364130E1
5.279519904344E2,9.894669082258E1
5.283009365690E2,9.913403800386E1
5.286498827035E2,9.932138518515E1
5.291384072919E2,9.953991206142E1
5.295222480400E2,9.965222429472E1
5.298711941745E2,9.969579132128E1
5.323138171166E2,9.969444626460E1
5.326627632511E2,9.969425411364E1
5.330117093857E2,9.969406196269E1
5.333606555203E2,9.969386981173E1
5.337096016549E2,9.969367766078E1
5.340585477894E2,9.969348550982E1
5.344074939240E2,9.962296610928E1
5.347564400586E2,9.959933154179E1
5.351053861932E2,9.959913939084E1
5.354543323277E2,9.959894723988E1
5.358032784623E2,9.962219750546E1
