#' @name Skye_SKL310.spct
#'
#' @title Skye Lux sensor SKL310
#'
#' @note
#' Spectral data digitized from figure in manufacturer's manual.
#' This is typical measured data, and for specific sensor units the
#' calibration data supplied with the sensor must be used as individual
#' may differ in their spectral response. Furthermore, the digigitizing
#' process from figures with a linear scale is prone to errors, which
#' are specially noticeable in regions of low responsivity.
#'
#' Manufacturer: Skye Instruments, Llandrindod Wells, Powys, UK
#' \url{http://www.skyeinstruments.com/}
#'
#' @references
#' Manufacturer's brochure dated 2007-10-09
#'
w.length,s.response
5.049215455524E2,5.801328524686E1
5.049040982457E2,5.782262986664E1
5.046074940313E2,5.742427211394E1
5.045725994179E2,5.713829384737E1
5.045725994179E2,5.695075451513E1
5.045725994179E2,5.676321518290E1
5.045629064697E2,5.653192201066E1
5.043632317371E2,5.618195854353E1
5.042236532833E2,5.582571067266E1
5.042236532833E2,5.563817134042E1
5.043283371236E2,5.541306649645E1
5.044756699360E2,5.526295390025E1
5.040491802160E2,5.353365935411E1
5.037002340814E2,5.301290891551E1
5.037002340814E2,5.282536958327E1
5.037002340814E2,5.263783025103E1
5.037002340814E2,5.238191720392E1
5.033512879468E2,5.197772766973E1
5.032204331464E2,5.170039779740E1
5.031768148796E2,5.151288248404E1
5.031768148796E2,5.132534315180E1
5.031768148796E2,5.111279857526E1
5.028627633584E2,5.067381690813E1
5.028278687450E2,5.038783864156E1
5.028278687450E2,5.020029930932E1
5.028278687450E2,5.001275997708E1
5.028278687450E2,4.980021540054E1
5.025138172239E2,4.936123373341E1
5.024789226104E2,4.907525546684E1
5.024789226104E2,4.888771613461E1
5.024789226104E2,4.870017680237E1
5.024789226104E2,4.848763222583E1
5.021648710893E2,4.804865055870E1
5.021299764758E2,4.776267229213E1
5.021299764758E2,4.757513295989E1
5.021299764758E2,4.738759362765E1
5.021202835276E2,4.715630045542E1
5.019206087951E2,4.680633698829E1
5.017810303412E2,4.645008911741E1
5.017810303412E2,4.626254978518E1
5.017810303412E2,4.607501045294E1
5.017713373931E2,4.584371728070E1
5.015716626605E2,4.549375381357E1
5.014320842067E2,4.513750594270E1
5.014320842067E2,4.494996661046E1
5.014320842067E2,4.476242727822E1
5.014320842067E2,4.457488794598E1
5.014320842067E2,4.436234336945E1
5.011180326856E2,4.392336170231E1
5.010831380721E2,4.363738343575E1
5.010831380721E2,4.344984410351E1
5.010831380721E2,4.326230477127E1
5.010831380721E2,4.304976019473E1
5.007690865510E2,4.261077852760E1
5.007341919375E2,4.232480026103E1
5.007341919375E2,4.213726092879E1
5.007341919375E2,4.194972159655E1
5.007341919375E2,4.173717702002E1
5.004201404164E2,4.129819535288E1
5.003852458029E2,4.101221708632E1
5.003852458029E2,4.082467775408E1
5.003852458029E2,4.063713842184E1
5.003852458029E2,4.042459384530E1
5.000711942818E2,3.998561217817E1
5.000362996684E2,3.969963391160E1
5.000362996684E2,3.951209457936E1
5.000362996684E2,3.932455524712E1
5.000362996684E2,3.911201067059E1
4.997222481473E2,3.867302900345E1
4.996873535338E2,3.838705073689E1
4.996873535338E2,3.819951140465E1
4.996873535338E2,3.801197207241E1
4.996776605856E2,3.778067890017E1
4.994779858531E2,3.743071543304E1
4.993384073992E2,3.707446756217E1
4.993384073992E2,3.688692822993E1
4.993384073992E2,3.669938889769E1
4.993384073992E2,3.648684432116E1
4.990243558781E2,3.604786265402E1
4.989894612646E2,3.576188438746E1
4.989894612646E2,3.557434505522E1
4.989894612646E2,3.538680572298E1
4.989894612646E2,3.517426114644E1
4.986754097435E2,3.473527947931E1
4.986405151301E2,3.444930121274E1
4.986405151301E2,3.426176188050E1
4.986405151301E2,3.407422254826E1
4.986405151301E2,3.386167797173E1
4.983264636090E2,3.342269630459E1
4.982915689955E2,3.313671803803E1
4.982915689955E2,3.294917870579E1
4.982915689955E2,3.276163937355E1
4.982915689955E2,3.254909479701E1
4.979775174744E2,3.211011312988E1
4.979426228609E2,3.182413486331E1
4.979426228609E2,3.163659553107E1
4.979329299127E2,3.140530235884E1
4.977332551802E2,3.105533889171E1
4.975936767263E2,3.069909102083E1
4.975936767263E2,3.051155168860E1
4.975936767263E2,3.032401235636E1
4.975839837782E2,3.009271918412E1
4.973843090456E2,2.974275571699E1
4.972447305918E2,2.938650784612E1
4.972447305918E2,2.919896851388E1
4.972447305918E2,2.901142918164E1
4.972447305918E2,2.879888460511E1
4.969306790707E2,2.835990293797E1
4.968957844572E2,2.807392467140E1
4.968957844572E2,2.788638533917E1
4.968957844572E2,2.769884600693E1
4.968957844572E2,2.748630143039E1
4.965817329361E2,2.704731976326E1
4.965468383226E2,2.676134149669E1
4.965468383226E2,2.657380216445E1
4.965468383226E2,2.638626283221E1
4.965468383226E2,2.617371825568E1
4.962327868015E2,2.573473658854E1
