#' @name apogee-s2-131-R.csv
#' @title apogee S2-131-SS Red and Far-Red Sensor, Red channel
#' @note
#' Digitized with 'DigitizeIt' from manufacturers product on-line specifications.
#' This are approximate data, both because of the digitizing process, and because they are
#' either typical values or for a particular sensor unit. Individual sensor units
#' are expected to differ to some degree in spectral response.
#'
#' Manufacturer: Apogee Instruments, Inc., Logan, UT, USA.
#'
#' @references \url{https://www.apogeeinstruments.com/s2-131-ss-red-far-red-sensor/}
#' visited on 2023-10-10.
#'
w.length,s.q.response
6.220082906084E2,5.312156753465E-3
6.232030402791E2,7.631411378832E-3
6.236256942545E2,7.634357635948E-3
6.240483482299E2,7.637303893064E-3
6.244710022053E2,7.640250150180E-3
6.248936561807E2,7.643196407296E-3
6.253163101561E2,7.646142664412E-3
6.257389641315E2,7.649088921528E-3
6.261616181068E2,7.652035178645E-3
6.265842720822E2,7.654981435761E-3
6.270069260576E2,7.657927692877E-3
6.274295800330E2,7.660873949993E-3
6.288158971461E2,9.542121057594E-3
6.306016101688E2,9.554568993747E-3
6.316557180246E2,1.165010608525E-2
6.320783719999E2,1.165305234237E-2
6.325010259753E2,1.165599859948E-2
6.329236799507E2,1.165894485660E-2
6.333463339261E2,1.166189111372E-2
6.337689879015E2,1.166483737083E-2
6.341916418769E2,1.166778362795E-2
6.348030371008E2,1.210762053196E-2
6.356173457394E2,1.910229517840E-2
6.364618501656E2,2.702772682082E-2
6.372746722836E2,3.478794709546E-2
6.376467379460E2,4.108160762619E-2
6.376467405548E2,4.105589483681E-2
6.376467405548E2,4.105589483681E-2
6.376467405548E2,4.105589483681E-2
6.377811160258E2,4.209505757778E-2
6.380038977040E2,4.491244868128E-2
6.381608528558E2,4.852133539094E-2
6.382125864524E2,5.438593032960E-2
6.382725427847E2,5.855353728855E-2
6.389901987891E2,6.699285509718E-2
6.390459352777E2,7.307809382829E-2
6.390554838292E2,7.815044022842E-2
6.391154401615E2,8.231804718736E-2
6.398330961659E2,9.075736499599E-2
6.398880291298E2,1.047621428553E-1
6.398884308921E2,1.008023732912E-1
