#' @name Skye_SKP210.spct
#'
#' @title Skye PAR 'Special' Sensor SKP210
#'
#' @note
#' Spectral data digitized from figure in manufacturer's manual.
#' This is typical measured data, and for specific sensor units the
#' calibration data supplied with the sensor must be used as individual
#' may differ in their spectral response. Furthermore, the digigitizing
#' process from figures with a linear scale is prone to errors, which
#' are specially noticeable in regions of low responsivity.
#'
#' Manufacturer: Skye Instruments, Llandrindod Wells, Powys, UK
#' \url{http://www.skyeinstruments.com/}
#'
#' @references
#' Manufacturer's brochure dated 2007-10-03
#'
#' KJ McCree. The action spectrum, absorbance and quantum yield of
#' photosynthesis in crop plants. Agricultural Meteorology. 1971/72
#' Vol 9, pp 191-216
#'
w.length,s.q.response
7.183812928318E2,2.971993837591E1
7.182587433169E2,3.005021816158E1
7.181273436211E2,3.036310877945E1
7.180832014414E2,3.055530484455E1
7.180745240924E2,3.086602181645E1
7.180273435842E2,3.106531083156E1
7.179047940693E2,3.139559061723E1
7.177733943735E2,3.170848123511E1
7.177292521938E2,3.190067730020E1
7.177300640040E2,3.209287336529E1
7.177213866550E2,3.240359033719E1
7.176742061467E2,3.260287935231E1
7.175516566318E2,3.293315913798E1
7.174202569360E2,3.324604975585E1
7.173761147564E2,3.343824582095E1
7.173674374073E2,3.374896279285E1
7.173202568991E2,3.394825180796E1
7.171977073842E2,3.427853159363E1
7.170663076884E2,3.459142221150E1
7.170221655087E2,3.478361827660E1
7.170229773189E2,3.497581434169E1
7.170142999699E2,3.528653131359E1
7.169671194617E2,3.548582032871E1
7.168445699467E2,3.581610011438E1
7.167131702509E2,3.612899073225E1
7.166690280713E2,3.632118679734E1
7.166603507222E2,3.663190376925E1
7.166131702140E2,3.683119278436E1
7.164906206991E2,3.716147257003E1
7.163592210033E2,3.747436318790E1
7.163150788236E2,3.766655925300E1
7.163158906338E2,3.785875531809E1
7.163072132848E2,3.816947228999E1
7.162600327766E2,3.836876130511E1
7.161374832616E2,3.869904109078E1
7.160060835658E2,3.901193170865E1
7.159619413862E2,3.920412777374E1
7.159532640371E2,3.951484474564E1
7.159060835289E2,3.971413376076E1
7.157835340140E2,4.004441354643E1
7.156521343182E2,4.035730416430E1
7.156079921385E2,4.054950022940E1
7.156088039487E2,4.074169629449E1
7.156001265997E2,4.105241326639E1
7.155529460915E2,4.125170228150E1
7.154303965765E2,4.158198206717E1
7.152989968807E2,4.189487268505E1
7.152548547011E2,4.208706875014E1
7.152461773520E2,4.239778572204E1
7.151989968438E2,4.259707473716E1
7.150764473289E2,4.292735452283E1
7.149450476331E2,4.324024514070E1
7.149009054534E2,4.343244120580E1
7.149017172636E2,4.362463727089E1
7.148930399146E2,4.393535424279E1
7.148458594064E2,4.413464325790E1
7.147233098914E2,4.446492304357E1
7.145919101957E2,4.477781366145E1
7.145477680160E2,4.497000972654E1
7.145390906669E2,4.528072669844E1
7.144919101587E2,4.548001571356E1
7.143693606438E2,4.581029549923E1
7.142379609480E2,4.612318611710E1
7.141938187683E2,4.631538218219E1
7.141946305785E2,4.650757824729E1
7.141859532295E2,4.681829521919E1
7.141387727213E2,4.701758423430E1
7.140162232063E2,4.734786401997E1
7.138848235106E2,4.766075463785E1
7.138406813309E2,4.785295070294E1
7.138320039818E2,4.816366767484E1
7.137848234736E2,4.836295668996E1
7.136622739587E2,4.869323647563E1
7.135308742629E2,4.900612709350E1
7.134867320832E2,4.919832315859E1
7.134875438934E2,4.939051922369E1
7.134788665444E2,4.970123619559E1
