#' @name Skye_SKP215.spct
#'
#' @title Skye PAR quantum Sensor SKP215
#'
#' @note
#' Spectral data digitized from figure in manufacturer's manual.
#' This is typical measured data, and for specific sensor units the
#' calibration data supplied with the sensor must be used as individual
#' may differ in their spectral response. Furthermore, the digigitizing
#' process from figures with a linear scale is prone to errors, which
#' are specially noticeable in regions of low responsivity.
#'
#' Manufacturer: Skye Instruments, Llandrindod Wells, Powys, UK
#' \url{http://www.skyeinstruments.com/}
#'
#' @references
#' Manufacturer's brochure dated 2007-10-03
#'
#' KJ McCree. The action spectrum, absorbance and quantum yield of
#' photosynthesis in crop plants. Agricultural Meteorology. 1971/72
#' Vol 9, pp 191-216
#'
w.length,s.q.response
6.582388797278E2,9.414889960048E1
6.579085485665E2,9.414907200714E1
6.575782174051E2,9.414924441380E1
6.572478862438E2,9.414941682046E1
6.569175550824E2,9.414958922712E1
6.565872239211E2,9.414976163378E1
6.562568927597E2,9.414993404044E1
6.559265615984E2,9.415010644710E1
6.555962304371E2,9.415027885376E1
6.552658992757E2,9.415045126043E1
6.549355681144E2,9.415062366709E1
6.546052369530E2,9.415079607375E1
6.542749057917E2,9.415096848041E1
6.539445746303E2,9.415114088707E1
6.536142434690E2,9.415131329373E1
6.532839123077E2,9.415148570039E1
6.529535811463E2,9.415165810705E1
6.526232499850E2,9.415183051371E1
6.520671925300E2,9.415212073159E1
6.507747718613E2,9.420686128299E1
6.503109318556E2,9.415303736033E1
6.499806006942E2,9.421986649207E1
6.496502695329E2,9.424225780709E1
6.492428611006E2,9.424740797717E1
6.485821987779E2,9.431984080428E1
6.479986137262E2,9.439865219892E1
6.476682825648E2,9.442104351394E1
6.472608741325E2,9.442619368401E1
6.466002118098E2,9.449862651112E1
6.460166267581E2,9.451078118068E1
6.456862955968E2,9.457761031242E1
6.453559644354E2,9.460000162744E1
6.449485560031E2,9.460515179751E1
6.442878936804E2,9.467758462463E1
6.437043086287E2,9.475639601927E1
6.433739774673E2,9.477878733429E1
6.429665690350E2,9.478393750436E1
6.423059067123E2,9.485637033147E1
6.417223216606E2,9.486852500103E1
6.413919904993E2,9.493535413277E1
6.409845820670E2,9.496272321120E1
6.403239197443E2,9.503515603831E1
6.397403346926E2,9.504731070787E1
6.394100035312E2,9.504748311453E1
6.390796723699E2,9.511431224627E1
6.387493412085E2,9.513670356129E1
6.384190100472E2,9.513687596796E1
6.380116016149E2,9.514202613803E1
6.373509392922E2,9.521445896514E1
6.367673542405E2,9.522661363470E1
6.364370230791E2,9.529344276644E1
6.361066919178E2,9.531583408146E1
6.356992834855E2,9.532098425153E1
6.350386211628E2,9.539341707864E1
6.344550361111E2,9.540557174820E1
6.341247049497E2,9.547240087994E1
6.337943737884E2,9.549479219496E1
6.334640426270E2,9.549496460162E1
6.330566341947E2,9.550011477170E1
6.323959718720E2,9.557254759881E1
6.318123868203E2,9.558470226837E1
6.314820556590E2,9.565153140011E1
6.311517244976E2,9.567392271513E1
6.307443160653E2,9.567907288520E1
6.301276978975E2,9.574555768253E1
6.298127821903E2,9.576349717023E1
6.286558890564E2,9.576410097667E1
6.281787440455E2,9.576435000851E1
6.278484128842E2,9.576452241517E1
6.275180817229E2,9.576469482183E1
6.271877505615E2,9.576486722849E1
6.268574194002E2,9.576503963516E1
6.265270882388E2,9.576521204182E1
6.261967570775E2,9.576538444848E1
6.258664259161E2,9.576555685514E1
6.255360947548E2,9.576572926180E1
6.252057635934E2,9.576590166846E1
6.248754324321E2,9.576607407512E1
6.245451012708E2,9.576624648178E1
6.242147701094E2,9.576641888844E1
6.238844389481E2,9.576659129510E1
6.235541077867E2,9.576676370176E1
6.232237766254E2,9.576693610842E1
6.228934454640E2,9.576710851508E1
6.225631143027E2,9.576728092174E1
6.222327831414E2,9.576745332840E1
6.216767256864E2,9.576774354628E1
6.203843050177E2,9.582692787935E1
6.199204650119E2,9.583531690010E1
6.195901338506E2,9.585770821513E1
6.191827254183E2,9.586285838520E1
6.185220630956E2,9.593529121231E1
6.179384780439E2,9.601410260695E1
6.176081468825E2,9.603649392197E1
6.172007384502E2,9.604164409204E1
6.165400761275E2,9.611407691915E1
6.159564910758E2,9.612623158871E1
6.156261599145E2,9.619306072045E1
6.152958287531E2,9.621545203547E1
6.148884203208E2,9.622060220555E1
6.142277579981E2,9.629303503266E1
6.136441729464E2,9.630518970222E1
6.133138417851E2,9.637201883396E1
6.129835106237E2,9.639441014898E1
6.125761021914E2,9.639956031905E1
6.119154398687E2,9.647199314616E1
6.113318548170E2,9.655080454080E1
6.110015236557E2,9.657319585582E1
6.106711924943E2,9.657336826248E1
6.103408613330E2,9.657354066914E1
6.100105301716E2,9.659593198416E1
6.096801990103E2,9.664054220754E1
6.093498678490E2,9.666293352257E1
6.090195366876E2,9.666310592923E1
6.086892055263E2,9.666327833589E1
6.083588743649E2,9.666345074255E1
6.080285432036E2,9.666362314921E1
6.076982120422E2,9.666379555587E1
6.073678808809E2,9.666396796253E1
6.070375497195E2,9.666414036919E1
6.067072185582E2,9.666431277585E1
6.063768873969E2,9.666448518251E1
6.060465562355E2,9.666465758917E1
6.057162250742E2,9.666482999583E1
6.053858939128E2,9.666500240249E1
6.050555627515E2,9.666517480915E1
6.047252315901E2,9.666534721581E1
6.043949004288E2,9.666551962247E1
6.040645692675E2,9.666569202913E1
6.037342381061E2,9.666586443579E1
6.034039069448E2,9.666603684245E1
6.030735757834E2,9.666620924911E1
6.027432446221E2,9.666638165577E1
6.024129134607E2,9.666655406243E1
6.020825822994E2,9.666672646909E1
6.017522511380E2,9.666689887575E1
6.014219199767E2,9.666707128242E1
6.010915888154E2,9.666724368908E1
6.007612576540E2,9.666741609574E1
6.004309264927E2,9.666758850240E1
6.001005953313E2,9.666776090906E1
5.997702641700E2,9.666793331572E1
5.994399330086E2,9.666810572238E1
5.991096018473E2,9.666827812904E1
5.987792706860E2,9.666845053570E1
5.984489395246E2,9.666862294236E1
5.981186083633E2,9.666879534902E1
5.977882772019E2,9.666896775568E1
5.974579460406E2,9.666914016234E1
5.971276148792E2,9.666931256900E1
5.967972837179E2,9.666948497566E1
5.964669525566E2,9.666965738232E1
5.961366213952E2,9.666982978898E1
5.958062902339E2,9.667000219564E1
5.954759590725E2,9.667017460230E1
5.951456279112E2,9.667034700896E1
5.948152967498E2,9.667051941562E1
5.944849655885E2,9.667069182228E1
5.941546344271E2,9.667086422894E1
5.938243032658E2,9.667103663560E1
5.934939721045E2,9.667120904227E1
5.931636409431E2,9.667138144893E1
5.928333097818E2,9.667155385559E1
5.925029786204E2,9.667172626225E1
5.921726474591E2,9.667189866891E1
5.918423162977E2,9.667207107557E1
5.912862588428E2,9.667236129345E1
5.908733448911E2,9.667257680177E1
5.894424604106E2,9.685107487684E1
5.888693358456E2,9.702912526927E1
5.883841619524E2,9.720712975844E1
5.878783423616E2,9.738514502302E1
5.873931684684E2,9.756314951218E1
5.868873488776E2,9.774116477676E1
5.864021749844E2,9.791916926593E1
5.858963553936E2,9.809718453051E1
5.854111815003E2,9.827518901967E1
5.849053619095E2,9.845320428425E1
5.844201880163E2,9.863120877342E1
5.838042580384E2,9.883890671803E1
5.835069599932E2,9.893238129914E1
5.827685322096E2,9.916532460736E1
5.822627126188E2,9.934333987194E1
5.817300536211E2,9.952136914457E1
5.810147948981E2,9.961061808632E1
5.806110568121E2,9.961082880557E1
5.802807256507E2,9.961100121223E1
5.799503944894E2,9.961117361889E1
5.796200633280E2,9.961134602555E1
5.792897321667E2,9.961151843221E1
5.789594010053E2,9.961169083887E1
5.786290698440E2,9.961186324553E1
5.782987386827E2,9.961203565219E1
5.779684075213E2,9.961220805885E1
5.776380763600E2,9.961238046551E1
5.773077451986E2,9.961255287217E1
5.769774140373E2,9.961272527883E1
5.766470828759E2,9.961289768549E1
5.763167517146E2,9.961307009215E1
5.759864205532E2,9.961324249881E1
5.756560893919E2,9.961341490547E1
5.753257582306E2,9.961358731214E1
5.749954270692E2,9.961375971880E1
5.746650959079E2,9.961393212546E1
5.743347647465E2,9.961410453212E1
5.740044335852E2,9.961427693878E1
5.736741024238E2,9.961444934544E1
5.733437712625E2,9.961462175210E1
5.730134401012E2,9.961479415876E1
5.726831089398E2,9.961496656542E1
5.723527777785E2,9.961513897208E1
5.720224466171E2,9.961531137874E1
5.716921154558E2,9.961548378540E1
5.713617842944E2,9.961565619206E1
5.710314531331E2,9.961582859872E1
5.707011219717E2,9.961600100538E1
5.703707908104E2,9.961617341204E1
5.698752940684E2,9.970530765547E1
5.693797973264E2,9.961669063202E1
5.690494661650E2,9.961686303868E1
5.687191350037E2,9.961703544534E1
5.684438590359E2,9.955792869527E1
5.680584726810E2,9.952850462522E1
5.676253718250E2,9.952280562728E1
5.671335454292E2,9.944011173043E1
5.666343783410E2,9.934557158038E1
5.661425519452E2,9.926287768353E1
5.656433848570E2,9.916833753348E1
5.651515584612E2,9.908564363663E1
5.646523913729E2,9.899110348658E1
5.641605649771E2,9.890840958973E1
5.636613978889E2,9.881386943968E1
5.631695714931E2,9.873117554283E1
5.626704044049E2,9.863663539278E1
5.621785780091E2,9.855394149593E1
5.617271254219E2,9.843567627378E1
5.613784425294E2,9.842400817413E1
5.607911871314E2,9.819916307014E1
5.596166763356E2,9.819977607160E1
5.591395313247E2,9.817780619508E1
5.588092001634E2,9.811132187666E1
5.583760993074E2,9.810562287872E1
5.578842729116E2,9.804070410856E1
5.574878755180E2,9.802313586986E1
5.571575443567E2,9.802330827652E1
5.568272131953E2,9.800126177482E1
5.564968820340E2,9.793477745640E1
5.560637811780E2,9.792907845846E1
5.555719547822E2,9.786415968830E1
5.551755573886E2,9.784659144960E1
5.548452262273E2,9.784676385626E1
5.545148950659E2,9.782471735456E1
5.540817942099E2,9.775236163154E1
5.535899678141E2,9.768744286138E1
5.531935704205E2,9.766987462268E1
5.528632392592E2,9.767004702934E1
5.525329080978E2,9.764800052764E1
5.522025769365E2,9.758151620922E1
5.517931039344E2,9.757432361886E1
5.515104545032E2,9.754040214662E1
5.510995068084E2,9.758288545676E1
5.508445488288E2,9.765628802003E1
5.503857555491E2,9.776021571274E1
5.498902588071E2,9.767159868929E1
5.493286958328E2,9.752969076711E1
5.490369033070E2,9.752391801743E1
5.487249238768E2,9.756851866266E1
5.482386030004E2,9.758358508915E1
5.479082718390E2,9.765041422089E1
5.475779406777E2,9.767280553591E1
5.471705322454E2,9.767795570598E1
5.465098699227E2,9.775038853310E1
5.459262848710E2,9.776254320265E1
5.455959537096E2,9.782937233439E1
5.452656225483E2,9.785176364942E1
5.448582141160E2,9.785691381949E1
5.441975517933E2,9.792934664660E1
5.436139667416E2,9.800815804124E1
5.432836355802E2,9.803054935626E1
5.428762271479E2,9.803569952633E1
5.422155648252E2,9.810813235344E1
5.416319797735E2,9.812028702300E1
5.413016486122E2,9.818711615474E1
5.409713174508E2,9.820950746976E1
5.406409862895E2,9.820967987642E1
5.403106551281E2,9.820985228309E1
5.399803239668E2,9.823224359811E1
5.396499928054E2,9.827685382149E1
5.393196616441E2,9.829924513651E1
5.389893304828E2,9.829941754317E1
5.386589993214E2,9.829958994983E1
5.383286681601E2,9.829976235649E1
5.379983369987E2,9.829993476315E1
5.376680058374E2,9.830010716981E1
5.373376746760E2,9.830027957647E1
5.370073435147E2,9.830045198313E1
5.366770123534E2,9.830062438979E1
5.363466811920E2,9.830079679645E1
5.360163500307E2,9.830096920311E1
5.356860188693E2,9.830114160977E1
5.353556877080E2,9.830131401643E1
5.350253565466E2,9.830148642309E1
5.346950253853E2,9.830165882975E1
5.343646942239E2,9.830183123641E1
5.340343630626E2,9.830200364307E1
5.337040319013E2,9.830217604973E1
5.333737007399E2,9.830234845639E1
5.330433695786E2,9.830252086305E1
5.327130384172E2,9.830269326972E1
5.323827072559E2,9.830286567638E1
5.320523760945E2,9.830303808304E1
5.314963186396E2,9.830332830091E1
5.301012200349E2,9.833871792875E1
5.298088769571E2,9.827828695185E1
5.294757930361E2,9.823328234823E1
5.290793956425E2,9.821571410954E1
5.287490644811E2,9.821588651620E1
5.284187333198E2,9.819384001450E1
5.279856324638E2,9.812148429148E1
5.274938060680E2,9.805656552132E1
5.270974086744E2,9.803899728262E1
5.267670775130E2,9.803916968928E1
5.264367463517E2,9.801712318758E1
5.261064151904E2,9.795063886916E1
5.256733143344E2,9.794493987122E1
5.251814879386E2,9.788002110106E1
5.247850905450E2,9.786245286236E1
5.244547593836E2,9.786262526902E1
5.241244282223E2,9.784057876732E1
5.237940970610E2,9.777409444890E1
5.233609962050E2,9.776839545096E1
5.228691698092E2,9.770347668080E1
5.224727724156E2,9.768590844210E1
5.221424412542E2,9.766386194040E1
5.218121100929E2,9.759737762198E1
5.213790092369E2,9.759167862404E1
5.208080082294E2,9.752736546648E1
5.200613549378E2,9.758051625059E1
5.196649575442E2,9.750962263183E1
5.193346263828E2,9.742091940505E1
5.189822731440E2,9.734407775651E1
5.184060287848E2,9.723772775022E1
5.179142023890E2,9.715503385337E1
5.174150353008E2,9.706049370332E1
5.169232089050E2,9.697779980647E1
5.164240418168E2,9.688325965642E1
5.159322154210E2,9.680056575957E1
5.154330483327E2,9.670602560952E1
5.149412219369E2,9.662333171267E1
5.144420548487E2,9.652879156262E1
5.139502284529E2,9.644609766577E1
5.134510613647E2,9.635155751572E1
5.129592349689E2,9.626886361887E1
5.124600678806E2,9.617432346882E1
5.119682414849E2,9.609162957197E1
5.114690743966E2,9.599708942192E1
5.106587143810E2,9.588599460646E1
5.099201882845E2,9.582607159294E1
5.095898571232E2,9.582624399960E1
5.092595259618E2,9.582641640626E1
5.089291948005E2,9.582658881292E1
5.085988636391E2,9.582676121958E1
5.082685324778E2,9.582693362624E1
5.079382013165E2,9.582710603290E1
5.076078701551E2,9.582727843956E1
5.072775389938E2,9.582745084622E1
5.069472078324E2,9.582762325288E1
5.066168766711E2,9.582779565954E1
5.062865455097E2,9.582796806620E1
5.059562143484E2,9.582814047287E1
5.056258831871E2,9.582831287953E1
5.052955520257E2,9.582848528619E1
5.049652208644E2,9.582865769285E1
5.046348897030E2,9.582883009951E1
5.043045585417E2,9.582900250617E1
5.039742273803E2,9.582917491283E1
5.036438962190E2,9.582934731949E1
5.033135650576E2,9.582951972615E1
5.029832338963E2,9.582969213281E1
5.026529027350E2,9.582986453947E1
5.023225715736E2,9.583003694613E1
5.019922404123E2,9.583020935279E1
5.016619092509E2,9.583038175945E1
5.011058517960E2,9.583067197733E1
4.997107531913E2,9.586606160517E1
4.994184101135E2,9.580563062827E1
4.990853261925E2,9.576062602465E1
4.986889287988E2,9.574305778595E1
4.983585976375E2,9.572101128425E1
4.980282664762E2,9.565452696583E1
4.975951656202E2,9.564882796789E1
4.971033392244E2,9.558390919773E1
4.967069418308E2,9.556634095903E1
4.963766106694E2,9.556651336569E1
4.960462795081E2,9.554446686399E1
4.957159483467E2,9.547798254557E1
4.952828474908E2,9.547228354763E1
4.947910210950E2,9.540736477747E1
4.943946237014E2,9.538979653878E1
4.940642925400E2,9.538996894544E1
4.937339613787E2,9.536792244374E1
4.933008605227E2,9.529556672071E1
4.928090341269E2,9.523064795055E1
4.924126367333E2,9.521307971186E1
4.920823055720E2,9.521325211852E1
4.917519744106E2,9.519120561682E1
4.914216432493E2,9.512472129840E1
4.909510524282E2,9.512496690947E1
4.899168012920E2,9.512550670652E1
4.894396562812E2,9.512575573836E1
4.891093251199E2,9.512592814502E1
4.887789939585E2,9.512610055168E1
4.884486627972E2,9.512627295834E1
4.881183316358E2,9.512644536500E1
4.877880004745E2,9.512661777166E1
4.874576693132E2,9.512679017832E1
4.871273381518E2,9.512696258498E1
4.867970069905E2,9.512713499164E1
4.864666758291E2,9.512730739830E1
4.861363446678E2,9.512747980496E1
4.858060135064E2,9.512765221162E1
4.854756823451E2,9.512782461828E1
4.851453511837E2,9.512799702494E1
4.848150200224E2,9.512816943160E1
4.844846888611E2,9.512834183826E1
4.841543576997E2,9.512851424493E1
4.838240265384E2,9.512868665159E1
4.834936953770E2,9.512885905825E1
4.831633642157E2,9.512903146491E1
4.828330330543E2,9.512920387157E1
4.825027018930E2,9.512937627823E1
4.821723707317E2,9.512954868489E1
4.818420395703E2,9.512972109155E1
4.815117084090E2,9.512989349821E1
4.811813772476E2,9.513006590487E1
4.808510460863E2,9.513023831153E1
4.805207149249E2,9.513041071819E1
4.801903837636E2,9.510836421649E1
4.798600526023E2,9.506409880643E1
4.795297214409E2,9.504205230473E1
4.791993902796E2,9.502000580303E1
4.787662894236E2,9.494765008001E1
4.782744630278E2,9.488273130985E1
4.778780656342E2,9.486516307115E1
4.775477344728E2,9.486533547781E1
4.772174033115E2,9.484328897611E1
4.767843024555E2,9.477093325309E1
4.762924760597E2,9.470601448293E1
4.758960786661E2,9.468844624423E1
4.755657475048E2,9.468861865089E1
4.752354163434E2,9.466657214919E1
4.748023154875E2,9.459421642617E1
4.743104890917E2,9.452929765601E1
4.739140916981E2,9.451172941731E1
4.735837605367E2,9.448968291561E1
4.732534293754E2,9.442319859719E1
4.728508382725E2,9.441970556642E1
4.722493275119E2,9.435318644169E1
4.716017735687E2,9.442406063049E1
4.713127338025E2,9.446864930304E1
4.706107800846E2,9.433570221703E1
4.700161839942E2,9.419381153552E1
4.696197866006E2,9.415846817013E1
4.692894554393E2,9.413642166843E1
4.689591242779E2,9.406993735001E1
4.685260234219E2,9.406423835207E1
4.680341970262E2,9.399931958191E1
4.676377996325E2,9.398175134322E1
4.673074684712E2,9.398192374988E1
4.669771373099E2,9.398209615654E1
4.666468061485E2,9.396004965484E1
4.663164749872E2,9.389356533642E1
4.658833741312E2,9.388786633847E1
4.653915477354E2,9.382294756831E1
4.649951503418E2,9.380537932962E1
4.646648191804E2,9.380555173628E1
4.643344880191E2,9.378350523458E1
4.640041568578E2,9.371702091616E1
4.635710560018E2,9.371132191822E1
4.630792296060E2,9.364640314805E1
4.626828322124E2,9.362883490936E1
4.623525010510E2,9.362900731602E1
4.620221698897E2,9.362917972268E1
4.616918387284E2,9.360713322098E1
4.613615075670E2,9.354064890256E1
4.609577694809E2,9.350629687547E1
4.602934368120E2,9.361823189974E1
4.599667759969E2,9.363025247523E1
4.596768186442E2,9.356226582433E1
4.588468616013E2,9.371971261514E1
4.578558681172E2,9.389798110201E1
4.568648746332E2,9.407624958887E1
4.558738811492E2,9.425451807573E1
4.548828876652E2,9.443278656259E1
4.538918941811E2,9.461105504946E1
4.529009006971E2,9.478932353632E1
4.519401875695E2,9.496757621924E1
4.514515727267E2,9.498955639227E1
4.511212415654E2,9.487912801064E1
4.507101627868E2,9.495636811014E1
4.501302480813E2,9.490186413899E1
4.496347513393E2,9.479932326630E1
4.488708605287E2,9.458590199525E1
4.481730359504E2,9.440296021034E1
4.473848290959E2,9.425302364522E1
4.465585423993E2,9.405385504122E1
4.458978800766E2,9.387644858766E1
4.452000554983E2,9.369350680276E1
4.443494527578E2,9.355782290469E1
4.435855619472E2,9.334440163364E1
4.428877373689E2,9.316145984874E1
4.420371346284E2,9.302577595067E1
4.412388343218E2,9.278830215459E1
4.406387327121E2,9.277528401500E1
4.400346985885E2,9.263382147670E1
4.396257171506E2,9.259213641965E1
4.392293197570E2,9.255234927260E1
4.387962189010E2,9.247999354957E1
4.383043925052E2,9.241507477941E1
4.379079951116E2,9.239750654072E1
4.375776639503E2,9.239767894738E1
4.372473327889E2,9.237563244568E1
4.369170016276E2,9.230914812726E1
4.364839007716E2,9.230344912932E1
4.359920743758E2,9.223853035915E1
4.355956769822E2,9.222096212046E1
4.352653458209E2,9.222113452712E1
4.349350146595E2,9.219908802542E1
4.345019138035E2,9.212673230240E1
4.340100874078E2,9.206181353223E1
4.336136900141E2,9.204424529354E1
4.332833588528E2,9.204441770020E1
4.329530276915E2,9.202237119850E1
4.326226965301E2,9.195588688008E1
4.321895956741E2,9.195018788214E1
4.316977692784E2,9.188526911198E1
4.313013718847E2,9.186770087328E1
4.309710407234E2,9.186787327994E1
4.306407095621E2,9.184582677824E1
4.301968270640E2,9.174792493777E1
4.298148816587E2,9.151297416949E1
4.293193849167E2,9.142435714604E1
4.289890537553E2,9.124677828582E1
4.286587225940E2,9.098587851924E1
4.283283914326E2,9.071386929849E1
4.279980602713E2,9.053629043827E1
4.276677291100E2,9.027539067170E1
4.273373979486E2,9.000338145095E1
4.270070667873E2,8.982580259073E1
4.266767356259E2,8.956490282415E1
4.263464044646E2,8.929289360340E1
4.260160733032E2,8.911531474318E1
4.256857421419E2,8.885441497661E1
4.253554109806E2,8.858240575586E1
4.250250798192E2,8.840482689564E1
4.246947486579E2,8.814392712906E1
4.243644174965E2,8.787191790831E1
4.240340863352E2,8.769433904809E1
4.237037551738E2,8.743343928152E1
4.233734240125E2,8.716143006077E1
4.230430928511E2,8.698385120054E1
4.227127616898E2,8.672295143397E1
4.223824305285E2,8.645094221322E1
4.220520993671E2,8.627336335300E1
4.217217682058E2,8.601246358643E1
4.213914370444E2,8.574045436567E1
4.210611058831E2,8.556287550545E1
4.208225333777E2,8.533587340258E1
4.210611058831E2,8.511849733825E1
4.207307747217E2,8.494091847803E1
4.203123552507E2,8.467450995948E1
4.202077503829E2,8.448200068246E1
4.200921344765E2,8.427764706788E1
4.199820240894E2,8.396367729861E1
4.198774192216E2,8.377116802160E1
4.197618033151E2,8.356681440701E1
4.196516929280E2,8.325284463774E1
4.195470880603E2,8.306033536073E1
4.194314721538E2,8.285598174615E1
4.193213617667E2,8.254201197688E1
4.192167568989E2,8.234950269986E1
4.191011409924E2,8.214514908528E1
4.189910306053E2,8.183117931601E1
4.188864257376E2,8.163867003900E1
4.187708098311E2,8.143431642441E1
4.186606994440E2,8.112034665514E1
4.185560945762E2,8.092783737813E1
4.184404786698E2,8.072348376355E1
4.183303682826E2,8.040951399428E1
4.182257634149E2,8.021700471727E1
4.181101475084E2,8.001265110268E1
4.180000371213E2,7.969868133341E1
4.178954322535E2,7.950617205640E1
4.177798163471E2,7.930181844182E1
4.176697059600E2,7.898784867255E1
4.175651010922E2,7.879533939553E1
4.174494851857E2,7.859098578095E1
4.173393747986E2,7.827701601168E1
4.172347699309E2,7.808450673467E1
4.171191540244E2,7.788015312008E1
4.170090436373E2,7.756618335081E1
4.169044387695E2,7.737367407380E1
4.167888228630E2,7.716932045922E1
4.166787124759E2,7.685535068995E1
4.165741076082E2,7.666284141293E1
4.164584917017E2,7.645848779835E1
4.163483813146E2,7.614451802908E1
4.162437764468E2,7.595200875207E1
4.161281605404E2,7.574765513748E1
4.160180501532E2,7.543368536821E1
4.159134452855E2,7.524117609120E1
4.157978293790E2,7.503682247662E1
4.156877189919E2,7.472285270735E1
4.155831141241E2,7.453034343034E1
4.154674982177E2,7.432598981575E1
4.153573878306E2,7.401202004648E1
4.152527829628E2,7.381951076947E1
4.151371670563E2,7.361515715489E1
4.150270566692E2,7.330118738562E1
4.149224518015E2,7.310867810860E1
4.148068358950E2,7.290432449402E1
4.146967255079E2,7.259035472475E1
4.145921206401E2,7.239784544774E1
4.144765047336E2,7.219349183315E1
4.143663943465E2,7.187952206388E1
4.142617894788E2,7.168701278687E1
4.141461735723E2,7.148265917229E1
