#' @name apogee-sq-100X.csv
#' @title apogee SQ-100X-SS: Original Quantum Sensor
#' @note
#' Digitized with 'DigitizeIt' from manufacturers product on-line specifications.
#' This are approximate data, both because of the digitizing process, and because they are
#' either typical values or for a particular sensor unit. Individual sensor units
#' are expected to differ to some degree in spectral response.
#'
#' Manufacturer: Apogee Instruments, Inc., Logan, UT, USA.
#'
#' @references \url{https://www.apogeeinstruments.com/quantum/}
#' visited on 2023-10-10.
#'
w.length,s.q.response
3.003378397833E2,1.278416452797E-3
3.023922467281E2,8.726802732076E-3
3.041454052345E2,1.671496908462E-2
3.066969225124E2,2.637802298080E-2
3.092484397904E2,3.604107687699E-2
3.117990215812E2,4.654445149236E-2
3.120732214187E2,5.297553054126E-2
3.143442050662E2,6.504986562153E-2
3.167999192916E2,7.451193301247E-2
3.183284873348E2,8.342974032366E-2
3.189648060668E2,8.792420633546E-2
3.198114608385E2,9.627473980527E-2
3.218956845675E2,1.035207217570E-1
3.234242526107E2,1.124385290682E-1
3.240605713427E2,1.169329950800E-1
3.251727062775E2,1.266935417037E-1
3.259685006086E2,1.317842639166E-1
3.266048193406E2,1.362787299283E-1
3.274514741123E2,1.446292633982E-1
3.296305654068E2,1.529165525743E-1
3.299047652443E2,1.593476316232E-1
3.321748134047E2,1.722622874227E-1
3.324490132423E2,1.786933664716E-1
3.347190614027E2,1.916080222710E-1
3.349932612402E2,1.980391013199E-1
3.372633094006E2,2.109537571194E-1
3.375375092382E2,2.173848361683E-1
3.398075573985E2,2.302994919678E-1
3.400817572361E2,2.367305710167E-1
3.423518053965E2,2.496452268161E-1
3.426133045471E2,2.554957339468E-1
3.430152448891E2,2.610241386968E-1
3.437782365942E2,2.672044078550E-1
3.444145553262E2,2.716988738668E-1
3.452612100979E2,2.800494073366E-1
3.474403013924E2,2.883366965128E-1
3.477018005430E2,2.941872036435E-1
3.481037408849E2,2.997156083935E-1
3.493282712924E2,3.065109495052E-1
3.499294111804E2,3.110898960170E-1
3.506479888829E2,3.190613432419E-1
