#' @name LI_COR_LI_190R_PAR_quantum.spct
#' @title LI-COR LI-190R quantum sensor
#' @note
#' Optical filters are used to tailor the silicon photodiode response
#' to the desired quantum response. The R version is an improved redesign from
#' 2010's replacing the LI-190 sensor from the 1980's. It has improved spectral
#' response among other differences.
#' Digitized with 'DigitizeIt' from manufacturer's PDF brochures. This are approximate
#' data, both because of the digitizing process, and because they are
#' either typical values. Individual sensor units of a given type
#' are expected to differ to some degree in spectral response.
#'
#' Manufacturer: LI-COR Inc., Lincoln, Nebraska
#' \url{http://www.licor.com/}
#'
#' @references LI-COR (2015) Technical Note 'Why Upgrade to the "R" Light and Radiation Sensors?'
#'
w.length,s.q.response
3.807609267030E2,4.689945103604E-3
3.814710586425E2,4.685214832566E-3
3.821811905821E2,4.680484561528E-3
3.828913225216E2,4.675754290491E-3
3.836014544612E2,4.671024019453E-3
3.843115864007E2,4.666293748415E-3
3.850217183403E2,4.661563477377E-3
3.850217183403E2,4.661563477377E-3
3.860902009254E2,6.532417583363E-3
3.860986802178E2,6.634332399126E-3
3.860986802178E2,6.634332399126E-3
3.867982307569E2,9.408390463751E-3
3.867982307569E2,9.408390463751E-3
3.867982307569E2,9.408390463751E-3
3.870745902724E2,1.019965969123E-2
3.870745902724E2,1.019965969123E-2
3.876801713142E2,1.179849487254E-2
3.876885230384E2,1.182155365845E-2
3.876885230384E2,1.182155365845E-2
3.876885230384E2,1.182155365845E-2
3.876885230384E2,1.182155365845E-2
3.907061244652E2,1.810657052365E-2
3.907061244652E2,1.810657052365E-2
3.949769679284E2,5.852673654115E-2
3.949769679284E2,5.852673654115E-2
3.963946112534E2,7.713110169423E-2
3.964091037420E2,7.713100515808E-2
3.971132273122E2,8.210753185354E-2
3.971132355245E2,8.214057805259E-2
3.978257736609E2,9.181838410477E-2
3.978257736609E2,9.181838410477E-2
3.978292228169E2,1.056977877080E-1
3.978292228169E2,1.056977877080E-1
3.978298141008E2,1.080771140400E-1
3.978298141008E2,1.080771140400E-1
3.978304053846E2,1.104564403720E-1
3.978304053846E2,1.104564403720E-1
3.978309966685E2,1.128357667040E-1
3.978309966685E2,1.128357667040E-1
3.978625675778E2,1.164016143676E-1
3.978625675778E2,1.164016143676E-1
3.978669781175E2,1.165102704453E-1
3.979393063250E2,1.021776284038E-1
3.985441835748E2,1.251242224815E-1
3.985441835748E2,1.251242224815E-1
3.988686430758E2,1.342565965289E-1
3.989195169287E2,1.347423129680E-1
3.992592428800E2,1.449472116437E-1
3.992596370692E2,1.465334291983E-1
3.992596370692E2,1.465334291983E-1
3.996319093999E2,1.562366341780E-1
3.999260140017E2,1.609635940261E-1
3.999744007325E2,1.651667551945E-1
3.999744007325E2,1.651667551945E-1
3.999749920164E2,1.675460815265E-1
3.999749920164E2,1.675460815265E-1
3.999755833003E2,1.699254078585E-1
3.999755833003E2,1.699254078585E-1
3.999761745841E2,1.723047341904E-1
3.999761745841E2,1.723047341904E-1
3.999769670688E2,1.754936923993E-1
3.999769670688E2,1.754936923993E-1
4.006899527743E2,1.869725163000E-1
4.006899527743E2,1.869725163000E-1
4.006928106463E2,1.984725935712E-1
4.006934019302E2,2.008519199032E-1
4.006939932141E2,2.032312462352E-1
4.006945844980E2,2.056105725672E-1
4.006951757819E2,2.079898988992E-1
4.006957670657E2,2.103692252311E-1
4.006957670657E2,2.103692252311E-1
4.006963583496E2,2.127485515631E-1
4.006963583496E2,2.127485515631E-1
4.007118733923E2,2.156482569829E-1
4.007118733923E2,2.156482569829E-1
4.008028941545E2,1.949524342670E-1
4.009940205094E2,2.198845596128E-1
4.011296452638E2,2.226991970208E-1
4.011296452638E2,2.226991970208E-1
4.014113191075E2,2.321749863366E-1
4.014113191075E2,2.321749863366E-1
4.014147682635E2,2.460543899399E-1
4.014153595474E2,2.484337162718E-1
4.015248517716E2,2.425342306356E-1
4.016822503086E2,2.508112687522E-1
4.017866488686E2,2.541812912246E-1
4.018308697757E2,2.556539154030E-1
4.018844553172E2,2.565387259749E-1
4.019911099068E2,2.583561496047E-1
4.020566336048E2,2.590868615082E-1
4.021290391902E2,2.627049439927E-1
4.021290391902E2,2.627049439927E-1
4.021296304741E2,2.650842703247E-1
4.021296304741E2,2.650842703247E-1
4.021302217579E2,2.674635966567E-1
4.021302217579E2,2.674635966567E-1
4.021308671021E2,2.700604613962E-1
4.021308671021E2,2.700604613962E-1
4.021332767247E2,2.797567827053E-1
4.021332767247E2,2.797567827053E-1
4.028468578202E2,2.936314560375E-1
4.028474491040E2,2.960107823694E-1
4.028480403879E2,2.983901087014E-1
