#' @name apogee-sq-610.csv
#' @title apogee SQ-610-SS 400-750nm ePAR Sensor (extended PAR)
#' @note
#' Digitized with 'DigitizeIt' from manufacturers product on-line specifications.
#' This are approximate data, both because of the digitizing process, and because they are
#' either typical values or for a particular sensor unit. Individual sensor units
#' are expected to differ to some degree in spectral response.
#'
#' Manufacturer: Apogee Instruments, Inc., Logan, UT, USA.
#'
#' @references \url{https://www.apogeeinstruments.com/quantum/}
#' visited on 2023-10-10.
#'
w.length,s.q.response
3.000019368039E2,-1.729565839006E-3
3.357233786311E2,-2.246692467242E-4
3.689812059597E2,1.295721776366E-3
3.751354001965E2,9.904814894374E-3
3.775902990777E2,2.545541301462E-2
3.800403559493E2,4.965384032989E-2
3.806310811239E2,9.461867853634E-2
3.811966278484E2,1.845522285569E-1
3.823044796512E2,4.059289087343E-1
3.829794557933E2,3.004215189472E-1
3.834714039715E2,5.218020727323E-1
3.883337500396E2,6.376519950840E-1
3.913658164685E2,7.223813531568E-1
3.944046617108E2,7.950037503565E-1
3.986898402313E2,8.416749127558E-1
4.054376648484E2,8.900601465632E-1
4.128101087075E2,9.228754142119E-1
4.226529458787E2,9.435682265568E-1
4.355733643691E2,9.677008025411E-1
4.534229486606E2,9.883432579858E-1
4.743607666926E2,9.934002528409E-1
4.946797758942E2,1.003649818821E0
5.150065323112E2,1.000062858089E0
5.421062917953E2,9.998924193497E-1
5.692041144757E2,1.003181112289E0
6.018470065816E2,1.002975811081E0
6.314123173682E2,9.993307462329E-1
6.566653343804E2,9.974423624781E-1
6.800667669109E2,1.002483862902E0
6.991549372652E2,1.011011610259E0
7.200946921010E2,1.012609473436E0
7.367221531624E2,1.015964017706E0
7.428831262127E2,1.012466149951E0
7.453564247305E2,9.951549971300E-1
7.478394072676E2,9.605481859191E-1
7.503282002162E2,9.155639796741E-1
7.516035855521E2,8.377257697035E-1
7.516607212658E2,7.356813852021E-1
7.554394255792E2,5.869154814014E-1
7.567235265325E2,4.935111788797E-1
7.586109418853E2,4.225873586573E-1
7.611181344705E2,3.447414014713E-1
7.655011215855E2,2.167264141309E-1
7.692740154874E2,7.833790536424E-2
7.692933835259E2,4.374658858413E-2
7.736163297215E2,2.296468326214E-2
7.791691463625E2,5.634162402763E-3
7.902602536157E2,-3.083391730904E-3
8.290602451642E2,1.317026618725E-4
8.506168720266E2,-3.873607702463E-6
