#' @name sglux_custom_UVA1.data
#' @note
#' Custom-made UVA1 sensor from sglux.
#' pre-amplified light detector with cosine diffuser.
#' Manufacturer: sglux GmbH, Max-Planck-Str. 3, D-12489 Berlin.
#' Digitized with 'enguage' from manufacturers' documentation.
#' This are approximate data, both because of the digitizing
#' process, and because they are values for a particular sensor unit.
#  Other sensor units with identical configuration
#' are expected to differ to some degree in spectral response.
#'
#' @references
#' sglux TOCON selection guide Ver 5.0
#' \url{http://www.sglux.de/}
#'
w.length,s.e.response
2.857406663063E2;-6.857238922004E-4
2.871396587818E2;-6.328069191339E-4
2.885393127194E2;2.298793388747E-3
2.899383051948E2;2.351710361813E-3
2.913372976703E2;2.404627334879E-3
2.927362901457E2;2.457544307946E-3
2.941352826212E2;2.510461281012E-3
2.955342750966E2;2.563378254079E-3
2.969332675721E2;2.616295227145E-3
2.983322600475E2;2.669212200212E-3
2.997312525229E2;2.722129173278E-3
3.011302449984E2;2.775046146345E-3
3.025292374738E2;2.827963119411E-3
3.039282299493E2;2.880880092477E-3
3.053272224247E2;2.933797065544E-3
3.067262149002E2;2.986714038610E-3
3.081252073756E2;3.039631011677E-3
3.095241998510E2;3.092547984743E-3
3.109231923265E2;3.145464957810E-3
3.123221848019E2;3.198381930876E-3
3.137211772774E2;3.251298903942E-3
3.151201697528E2;3.304215877009E-3
3.165191622283E2;3.357132850075E-3
3.179181547037E2;3.410049823142E-3
3.193171471792E2;3.462966796208E-3
3.207161396546E2;3.515883769275E-3
3.221151321300E2;3.568800742341E-3
3.235141246055E2;3.621717715408E-3
3.249131170809E2;3.674634688474E-3
3.265925695136E2;6.616818390968E-3
3.279915619891E2;6.669735364034E-3
3.293905544645E2;6.722652337101E-3
3.307895469400E2;6.775569310167E-3
3.321885394154E2;6.828486283234E-3
3.335875318908E2;6.881403256300E-3
3.349865243663E2;6.934320229366E-3
3.363855168417E2;6.987237202433E-3
3.377845093172E2;7.040154175499E-3
3.391835017926E2;7.093071148566E-3
3.405824942681E2;7.145988121632E-3
3.419814867435E2;7.198905094699E-3
3.433804792190E2;7.251822067765E-3
3.447801331566E2;1.018342237565E-2
3.461791256320E2;1.023633934871E-2
3.479369888920E2;1.618009135681E-2
3.494001156363E2;2.475146506084E-2
3.505219554653E2;3.630853197854E-2
3.513875522019E2;4.889542198876E-2
3.520676088016E2;6.579328140480E-2
3.526428971442E2;8.336686116857E-2
3.531944095968E2;9.894047333361E-2
3.534776991422E2;1.141441076620E-1
3.537608049481E2;1.285481077306E-1
3.540439107540E2;1.429521077993E-1
3.543276780221E2;1.602347912028E-1
3.544712153115E2;1.760728412416E-1
3.546266221720E2;1.928309116538E-1
3.548985198690E2;2.091935746839E-1
3.551816256749E2;2.235975747526E-1
3.551968025568E2;2.389110118000E-1
3.554687002538E2;2.552736748301E-1
3.557522837824E2;2.717567239740E-1
3.557557748327E2;2.869497749077E-1
3.560388806386E2;3.013537749764E-1
3.560421879494E2;3.157471916505E-1
3.563252937553E2;3.301511917192E-1
3.563286010661E2;3.445446083932E-1
3.566123683342E2;3.618272917967E-1
3.566156756450E2;3.762207084708E-1
3.568994429131E2;3.935033918743E-1
3.569027502239E2;4.078968085484E-1
3.571865174920E2;4.251794919519E-1
3.571898248028E2;4.395729086259E-1
3.574735920709E2;4.568555920294E-1
3.574768993817E2;4.712490087035E-1
3.576738883261E2;4.863214383370E-1
3.577639739606E2;5.029251087811E-1
3.578451868151E2;5.181210995466E-1
3.580510485395E2;5.346012088586E-1
3.581322613940E2;5.497971996242E-1
3.583381231183E2;5.662773089362E-1
3.584193359728E2;5.814732997018E-1
3.586251976972E2;5.979534090138E-1
3.587064105517E2;6.131493997794E-1
3.589122722761E2;6.296295090913E-1
3.589934851306E2;6.448254998569E-1
3.591993468550E2;6.613056091689E-1
3.594831141231E2;6.785882925724E-1
3.594864214339E2;6.929817092465E-1
3.597695272398E2;7.073857093152E-1
3.597728345506E2;7.217791259892E-1
3.600559403565E2;7.361831260579E-1
3.601371532110E2;7.513791168235E-1
3.603430149354E2;7.678592261355E-1
3.606261207413E2;7.822632262042E-1
3.609092265472E2;7.966672262729E-1
3.611062154916E2;8.117396559063E-1
3.612735452076E2;8.262672171071E-1
3.616724271034E2;8.405476560437E-1
3.620423112330E2;8.571619098824E-1
3.623254170389E2;8.715659099511E-1
3.628889828021E2;8.888591767492E-1
3.636455687367E2;9.039527731719E-1
3.645747191253E2;9.191488521324E-1
3.654167604592E2;9.306953356555E-1
3.665386002882E2;9.422524025732E-1
3.675828377437E2;9.543262919279E-1
3.687822799462E2;9.653665364086E-1
3.700395541532E2;9.777923236342E-1
3.712079168210E2;9.854889503751E-1
3.724172005700E2;9.928512814883E-1
3.736940774838E2;9.984170078700E-1
3.752259136103E2;1.001593496170E0
3.769047045809E2;1.001656996538E0
3.782441103398E2;9.859230165459E-1
3.788421396597E2;9.705508122600E-1
3.794124913815E2;9.564929479918E-1
3.802417811949E2;9.125448138937E-1
3.805176109170E2;8.952832972795E-1
3.807941021012E2;8.809004640000E-1
3.810707402771E2;8.671573381283E-1
3.812688849429E2;8.500528085341E-1
3.813431156968E2;8.348626974322E-1
3.816161158308E2;8.052868132190E-1
3.816196068811E2;8.204798641527E-1
3.818921292924E2;7.888249308644E-1
3.821653131658E2;7.600486809109E-1
3.821686204766E2;7.744420975849E-1
3.824384970393E2;7.312724309574E-1
3.824418043501E2;7.456658476314E-1
3.827116809127E2;7.024961810038E-1
3.827149882236E2;7.168895976779E-1
3.829848647862E2;6.737199310503E-1
