#' @name sglux_SG01D_C.spct
#' @note
#' UV-C broadband sensor (filtered SiC sensor, "solar-blind").
#' Original data supplied by the manufacturer as a computer readable file. 
#' This is typical measured data. Individual sensor units
#' are expected to differ to a small degree in spectral response.
#' 
#' Manufacturer: sglux SolGel Technologies GmbH, Berlin, Germany
#' \url{http://www.sglux.com/}
#'
#' @references personal communication from Dr.\ Stefan Langer
#'
w.length,s.e.response,reference
420.01,5.634562E-14,1.128907E-12
419.988,4.835E-14,8.864525E-8
419.018,4.189125E-14,8.79335E-8
418.01,4.056125E-14,8.740575E-8
417.003,3.80925E-14,8.669125E-8
415.995,3.474125E-14,8.5695E-8
414.987,3.309625E-14,8.460312E-8
414.016,3.09E-14,8.346188E-8
413.007,2.7815E-14,8.230937E-8
411.999,2.51975E-14,8.100925E-8
410.99,2.393375E-14,7.958162E-8
409.982,2.244375E-14,7.779312E-8
409.01,2.183125E-14,7.612788E-8
408.001,2.12875E-14,7.419462E-8
406.992,1.997375E-14,7.201575E-8
405.982,1.579375E-14,1.003217E-7
405.01,1.528875E-14,1.005593E-7
404,1.38075E-14,1.009256E-7
402.99,1.42825E-14,1.014226E-7
402.018,1.48925E-14,1.018548E-7
401.008,1.609875E-14,1.02403E-7
399.997,1.3795E-14,1.028636E-7
398.987,1.2965E-14,1.03113E-7
398.013,1.35825E-14,1.032694E-7
397.002,1.323375E-14,1.032757E-7
395.991,1.37725E-14,1.030978E-7
395.018,1.315375E-14,1.028961E-7
394.006,1.39075E-14,1.024255E-7
392.995,1.42575E-14,1.017701E-7
391.983,1.473125E-14,1.009466E-7
391.009,1.702E-14,1.002952E-7
389.997,1.649625E-14,9.945437E-8
388.985,2.01525E-14,9.873762E-8
388.01,2.1995E-14,9.801325E-8
386.998,2.203E-14,9.707487E-8
385.985,2.529625E-14,9.634788E-8
385.01,2.626625E-14,9.5338E-8
383.997,2.9775E-14,9.4131E-8
382.984,2.893125E-14,9.27575E-8
382.009,3.095125E-14,9.159037E-8
380.995,3.183875E-14,8.996487E-8
379.982,3.198375E-14,8.823288E-8
379.006,3.432E-14,8.642388E-8
377.992,3.832875E-14,8.447475E-8
377.016,3.887625E-14,8.29855E-8
376.002,4.400875E-14,8.130975E-8
374.988,4.714375E-14,7.963275E-8
374.011,5.402125E-14,7.801525E-8
372.996,5.857625E-14,7.6769E-8
371.982,6.430875E-14,7.551188E-8
371.005,6.868E-14,7.453238E-8
369.99,7.677E-14,7.353275E-8
