WL(nm) ,SG01D-B18 (UVB pass filter = erythemal),REF(A) 
"294,016","1,234886E-8","3,2419E-8"
"292,991","1,236502E-8","3,1027E-8"
"292,004","1,237989E-8","3,010638E-8"
"291,017","1,228609E-8","2,8979E-8"
"289,992","1,216194E-8","2,7739E-8"
"289,005","1,202914E-8","2,651762E-8"
"288,017","1,188625E-8","2,549175E-8"
"286,992","1,173205E-8","2,441775E-8"
"286,004","1,156586E-8","2,330113E-8"
"285,017","1,138151E-8","2,2191E-8"
"283,991","1,120075E-8","2,130575E-8"
"283,003","1,10319E-8","2,045012E-8"
"282,015","1,083875E-8","1,957012E-8"
"280,989","1,06069E-8","1,8639E-8"
"280,001","1,037646E-8","1,788606E-8"
"279,013","1,014975E-8","1,713774E-8"
"277,986","9,88285E-9","1,636135E-8"
"276,998","9,61045E-9","1,558846E-8"
"276,009","9,340688E-9","1,490439E-8"
"274,982","9,08115E-9","1,428927E-8"
"273,993","8,82065E-9","1,37508E-8"
"273,004","8,498762E-9","1,310514E-8"
"272,015","8,164138E-9","1,256991E-8"
"270,988","7,80865E-9","1,20068E-8"
"269,999","7,472987E-9","1,150099E-8"
"269,009","7,104787E-9","1,093661E-8"
"267,982","6,726425E-9","1,041646E-8"
"266,992","6,370975E-9","9,966588E-9"
"266,003","5,985812E-9","9,561325E-9"
"265,013","5,497575E-9","9,046137E-9"
"263,986","4,977125E-9","8,559587E-9"
"262,996","4,514988E-9","8,131213E-9"
"262,005","4,089712E-9","7,717137E-9"
"261,015","3,672138E-9","7,238663E-9"
"259,987","3,27075E-9","6,8045E-9"
"258,997","2,945212E-9","6,442487E-9"
"258,006","2,609125E-9","6,106875E-9"
"257,016","2,23005E-9","5,70885E-9"
"255,987","1,862975E-9","5,337087E-9"
"254,996","1,570185E-9","5,007462E-9"
"254,006","1,322735E-9","4,690725E-9"
"253,015","1,091741E-9","4,351888E-9"
"251,986","8,919463E-10","4,04405E-9"
"250,994","7,432713E-10","3,797012E-9"
"250,003","6,111975E-10","3,572112E-9"
"249,012","4,801513E-10","3,30725E-9"
"247,983","3,869963E-10","3,071838E-9"
"246,991","3,398912E-10","2,868638E-9"
246,"3,215237E-10","2,6776E-9"
"245,008","3,191112E-10","2,479262E-9"
"244,016","3,25795E-10","2,3081E-9"
"242,986","3,333063E-10","2,147375E-9"
"241,994","3,37025E-10","2,010188E-9"
"241,002","3,333937E-10","1,853425E-9"
"240,01","3,2106E-10","1,704275E-9"
"239,018","3,027875E-10","1,576301E-9"
"237,988","2,80515E-10","1,451701E-9"
"236,996","2,574688E-10","1,324414E-9"
"236,003","2,366113E-10","1,22224E-9"
"235,011","2,160325E-10","1,129405E-9"
"234,018","1,91945E-10","1,035295E-9"
"232,987","1,624526E-10","9,380125E-10"
"231,994","1,35596E-10","8,614613E-10"
"231,001","1,110442E-10","7,8913E-10"
"230,009","8,948287E-11","7,1465E-10"
"229,016","7,143812E-11","6,476938E-10"
"227,984","5,803638E-11","5,9092E-10"
"226,991","4,835675E-11","5,462963E-10"
"225,998","3,90855E-11","4,994237E-10"
"225,004","3,03105E-11","4,54295E-10"
"224,011","2,357337E-11","4,205537E-10"
"223,018","1,802725E-11","3,88195E-10"
"221,985","1,330205E-11","3,578987E-10"
"220,992","9,6422E-12","3,29295E-10"
"219,998","7,5577E-12","3,098313E-10"
"219,004","6,126013E-12","2,914175E-10"
"218,01","5,052387E-12","2,738812E-10"
"217,016","4,197962E-12","2,570288E-10"
"215,984","3,603988E-12","2,442375E-10"
"214,99","3,20705E-12","2,328288E-10"
"213,996","2,955225E-12","2,224963E-10"
"213,001","2,797187E-12","2,126225E-10"
"212,007","2,712625E-12","2,05685E-10"
"211,013","2,654563E-12","1,989312E-10"
"210,018","2,608712E-12","1,925325E-10"
"208,985","2,561713E-12","1,864112E-10"
"207,99","2,526675E-12","1,8176E-10"
"206,995","2,5016E-12","1,776425E-10"
206,"2,471688E-12","1,733487E-10"
"205,005","2,44655E-12","1,6938E-10"
"204,011","2,43315E-12","1,669198E-10"
"203,016","2,420113E-12","1,65219E-10"
"201,982","2,4002E-12","1,620374E-10"
"200,987","2,3797E-12","1,589898E-10"
"199,991","2,364037E-12","1,56348E-10"
