AS7343-FXL x,AS7343-FXL y
6.902311235812E2,2.736478021516E-2
6.951034994404E2,2.366358283601E-2
6.980217590636E2,2.130169654291E-2
7.008293230998E2,1.840313799668E-2
7.037128418879E2,1.522300493909E-2
7.069841382024E2,1.313526728541E-2
7.192097448673E2,4.041361745668E-3
7.590085155445E2,2.589974864871E-3
7.836141860217E2,3.045220984377E-3
7.867534295093E2,3.095096730845E-3
7.899740327881E2,2.589386691566E-3
7.930023446193E2,2.467288220277E-3
7.960849925181E2,1.981893244943E-3
7.993638415796E2,1.171759177549E-3
8.023942161529E2,4.226886559603E-8
8.120751495874E2,-1.626554262962E-4
9.991180461330E2,-1.221166892809E-3
