AS7343-NIR x,AS7343-NIR y
3.515000301343E2,2.131895858091E-3
3.545382293764E2,2.114702108450E-3
3.575663349334E2,2.097565480901E-3
3.605944404903E2,2.080428853351E-3
3.636225460473E2,2.063292225802E-3
3.666506516042E2,2.046155598253E-3
3.696787571612E2,2.029018970703E-3
3.727068627181E2,2.011882343154E-3
3.757349682751E2,1.994745715605E-3
3.787630738320E2,1.977609088056E-3
3.817911793890E2,1.960472460506E-3
3.848192849459E2,1.943335832957E-3
3.878473905029E2,1.926199205408E-3
3.908754960599E2,1.909062577858E-3
3.939036016168E2,1.891925950309E-3
3.969317071738E2,1.874789322760E-3
3.999598127307E2,1.857652695210E-3
4.029879182877E2,1.840516067661E-3
4.060160238446E2,1.823379440112E-3
4.090441294016E2,1.806242812562E-3
4.120722349585E2,1.789106185013E-3
4.151003405155E2,1.771969557464E-3
4.181284460724E2,1.754832929915E-3
4.211565516294E2,1.737696302365E-3
4.241846571863E2,1.720559674816E-3
4.272127627433E2,1.703423047267E-3
4.302408683002E2,1.686286419717E-3
4.332689738572E2,1.669149792168E-3
4.362970794142E2,1.652013164619E-3
4.393251849711E2,1.634876537069E-3
4.423532905281E2,1.617739909520E-3
4.453813960850E2,1.600603281971E-3
4.484095016420E2,1.583466654422E-3
4.514376071989E2,1.566330026872E-3
4.544657127559E2,1.549193399323E-3
4.574938183128E2,1.532056771774E-3
4.605219238698E2,1.514920144224E-3
4.635500294267E2,1.497783516675E-3
4.665781349837E2,1.480646889126E-3
4.696062405406E2,1.463510261576E-3
4.726343460976E2,1.446373634027E-3
4.756624516545E2,1.429237006478E-3
4.786905572115E2,1.412100378928E-3
4.817186627685E2,1.394963751379E-3
4.847467683254E2,1.377827123830E-3
4.877748738824E2,1.360690496281E-3
4.908029794393E2,1.343553868731E-3
4.938310849963E2,1.326417241182E-3
4.968591905532E2,1.309280613633E-3
4.998872961102E2,1.292143986083E-3
5.029154016671E2,1.275007358534E-3
5.059435072241E2,1.257870730985E-3
5.089716127810E2,1.240734103435E-3
5.119997183380E2,1.223597475886E-3
5.150278238949E2,1.206460848337E-3
5.180559294519E2,1.189324220787E-3
5.210840350089E2,1.172187593238E-3
5.241113154689E2,1.574898340647E-3
5.271394210259E2,1.557761713098E-3
5.301675265828E2,1.540625085548E-3
5.331956321398E2,1.523488457999E-3
5.362237376967E2,1.506351830450E-3
5.392518432537E2,1.489215202900E-3
5.422799488106E2,1.472078575351E-3
5.453080543676E2,1.454941947802E-3
5.483361599245E2,1.437805320252E-3
5.513642654815E2,1.420668692703E-3
5.543923710385E2,1.403532065154E-3
5.575324859528E2,1.713138903065E-3
5.607505676112E2,1.787392522258E-3
5.637786731681E2,1.770255894709E-3
5.668392227132E2,1.752935660436E-3
5.700223967162E2,1.338403360118E-3
5.731658003947E2,1.717132349306E-3
5.761939059516E2,1.699995721757E-3
5.792211864117E2,2.102706469165E-3
5.822492919687E2,2.085569841616E-3
5.853894068830E2,2.395176679527E-3
5.886074885414E2,2.469430298721E-3
5.916680380864E2,2.452110064448E-3
5.946645247522E2,2.015309668664E-3
5.976926303091E2,1.998173041115E-3
6.011236581768E2,2.398598904850E-3
6.043533108367E2,2.546509421385E-3
6.073809178976E2,2.783030582873E-3
6.104090234546E2,2.765893955324E-3
6.134373352857E2,2.643795484035E-3
6.167696953179E2,1.890212287554E-3
6.197978008749E2,1.873075660005E-3
6.228259064318E2,1.855939032455E-3
6.258540119888E2,1.838802404906E-3
6.288812924489E2,2.241513152315E-3
6.319085729089E2,2.644223899724E-3
6.349366784659E2,2.627087272174E-3
6.379647840228E2,2.609950644625E-3
6.409928895798E2,2.592814017076E-3
6.440209951367E2,2.575677389526E-3
6.470491006937E2,2.558540761977E-3
6.500763467747E2,2.978745150009E-3
6.531036616138E2,3.363962256794E-3
6.565465870839E2,3.671855431950E-3
6.597638436454E2,4.165956426102E-3
6.627919492023E2,4.148819798553E-3
6.658200547593E2,4.131683171003E-3
6.688467163967E2,4.849279449631E-3
6.718746156794E2,4.937104665821E-3
6.749010710426E2,5.759662788188E-3
6.779275264058E2,6.582220910554E-3
6.809556319628E2,6.565084283005E-3
6.839837375197E2,6.547947655456E-3
6.870118430767E2,6.530811027906E-3
6.900399486336E2,6.513674400357E-3
6.930680541906E2,6.496537772808E-3
6.963973201095E2,7.317382232419E-3
6.995372434834E2,7.724453639517E-3
7.027538664884E2,8.540937439440E-3
7.059678342858E2,8.965916282314E-3
7.091106191416E2,9.659530802721E-3
7.121368682306E2,1.058705076883E-2
7.154661341494E2,1.140789522844E-2
7.186758068592E2,1.102236871032E-2
7.216229555144E2,8.329192985284E-3
7.246811438745E2,5.202717632661E-3
7.276266428271E2,3.379558627939E-3
7.306231638719E2,2.925264591532E-3
7.336512694288E2,2.908127963983E-3
7.366793749858E2,2.890991336434E-3
7.397074805427E2,2.873854708884E-3
7.427355860997E2,2.856718081335E-3
7.460656771154E2,3.257715165989E-3
7.490929575755E2,3.660425913397E-3
7.522897937259E2,3.493640115643E-3
7.554714254035E2,2.203861125485E-3
7.584833851896E2,1.927912868163E-3
7.615114907465E2,1.910776240613E-3
7.647262836408E2,1.915907708529E-3
7.678688622224E2,2.714484072676E-3
7.711072849746E2,3.535842631114E-3
7.746289726541E2,4.029053812680E-3
7.780434573292E2,5.143305896982E-3
7.809951246996E2,6.326319039338E-3
7.843227404247E2,7.986858248866E-3
7.876968188723E2,1.000394528197E-2
7.906324635924E2,1.257344635133E-2
7.936198264984E2,1.568883899810E-2
7.962774520956E2,1.943294617528E-2
7.988145333304E2,2.388136081112E-2
8.013378446149E2,2.905913570305E-2
8.036639256576E2,3.444328319242E-2
8.059592397542E2,4.080857061148E-2
8.082785811960E2,4.705410020496E-2
8.103817531482E2,5.543905206483E-2
8.121102544999E2,6.370516957295E-2
8.139393100157E2,7.135834745101E-2
8.155619372928E2,7.927579497471E-2
8.168518731307E2,8.737670723296E-2
8.181478528033E2,9.497027535208E-2
8.195458144505E2,1.033154845166E-1
8.207128341816E2,1.109072833809E-1
8.217339959380E2,1.193458407538E-1
8.226259256675E2,1.277376472647E-1
8.238635120550E2,1.372545753780E-1
8.250012106423E2,1.451376811001E-1
8.258631343485E2,1.533897098522E-1
8.266389335335E2,1.613735766492E-1
8.274919679258E2,1.696930471262E-1
8.283838976553E2,1.780848536371E-1
8.292031584502E2,1.867982843860E-1
8.299587421478E2,1.955532267450E-1
8.309528034006E2,2.049415816999E-1
8.317409514129E2,2.131765345167E-1
8.323475862966E2,2.217523872175E-1
8.330034942799E2,2.304317555190E-1
8.336172327730E2,2.386488690725E-1
8.343076433938E2,2.477785400043E-1
8.350966314824E2,2.562738905070E-1
8.357880322195E2,2.648997445888E-1
8.364784428404E2,2.740294155205E-1
8.372669358708E2,2.827766744482E-1
8.379578415498E2,2.916544369550E-1
8.385469607236E2,3.000479571287E-1
8.391360798973E2,3.084414773023E-1
8.399245729278E2,3.171887362300E-1
8.405131970434E2,3.258341648286E-1
8.414972978298E2,3.351318601385E-1
8.425408980468E2,3.433878588761E-1
8.435839678444E2,3.519137594975E-1
8.445830957078E2,3.604436573904E-1
8.456689876652E2,3.695353536065E-1
8.468841619903E2,3.775017395133E-1
8.481472904306E2,3.850275689918E-1
8.499210342017E2,3.922840086452E-1
8.522473776710E2,3.981766308151E-1
8.554784799802E2,3.967308801912E-1
8.578209242984E2,3.896002903665E-1
8.595813262530E2,3.811203012183E-1
8.614146915248E2,3.727130717426E-1
8.629411317578E2,3.643467645335E-1
8.643141257114E2,3.562413060821E-1
8.655757995254E2,3.477437358648E-1
8.669612444201E2,3.381228302439E-1
8.681681806686E2,3.302947635273E-1
8.692606822004E2,3.216926346643E-1
8.702696108315E2,3.134423471159E-1
8.713496006040E2,3.051076888778E-1
8.723607938313E2,2.966527984968E-1
8.733472222013E2,2.882343679909E-1
8.744926215292E2,2.788390701518E-1
8.753923217395E2,2.706507111112E-1
8.762179719603E2,2.622638456613E-1
8.770196714522E2,2.542023272456E-1
8.778878951987E2,2.460721246148E-1
8.788060485616E2,2.374897253993E-1
8.795090221419E2,2.286018255063E-1
8.803547554091E2,2.198475673373E-1
8.811636026710E2,2.110150473123E-1
8.819653021629E2,2.029535288967E-1
8.826047856432E2,1.941572041322E-1
