AS7343-NIR x,AS7343-NIR y
8.833520976626E2,1.856138408112E-1
8.841361320594E2,1.769109960100E-1
8.848991543164E2,1.688113774991E-1
8.856799767289E2,1.599086257772E-1
8.864478611639E2,1.511692194371E-1
8.871684054607E2,1.425579497644E-1
8.879965680114E2,1.335270613751E-1
8.887806024082E2,1.248242165739E-1
8.895436246652E2,1.167245980630E-1
8.902641689620E2,1.081133283903E-1
8.910923315127E2,9.908244000099E-2
8.918763659095E2,9.037959519977E-2
8.927210064554E2,8.162342726583E-2
8.936711734545E2,7.300760933156E-2
8.945961070592E2,6.460552084413E-2
8.955489482563E2,5.637154471304E-2
8.964207408743E2,4.801507331613E-2
8.974549028997E2,3.955105632086E-2
8.985999743171E2,3.004746757611E-2
9.000642344632E2,2.141033052112E-2
9.014980163164E2,1.383979974163E-2
9.036703203860E2,6.564227451627E-3
9.066698643304E2,2.508140716310E-3
9.098888693115E2,9.661196469578E-4
9.129184187880E2,2.142501132319E-4
9.159465243449E2,1.971134856826E-4
9.189746299019E2,1.799768581333E-4
9.220035605557E2,-2.570071443740E-4
9.250316661127E2,-2.741437719233E-4
9.280597716696E2,-2.912803994726E-4
9.310878428475E2,-2.909233863987E-4
9.341151576866E2,9.429372038679E-5
9.371432632436E2,7.715709283748E-5
9.401713688006E2,6.002046528817E-5
9.432001619382E2,-3.069889747262E-4
9.462275799145E2,2.574721018956E-5
9.492556854714E2,8.610582640254E-6
9.522846161252E2,-4.283734198671E-4
9.553118965853E2,-2.566267245836E-5
9.583400021423E2,-4.279930000767E-5
9.613681076992E2,-5.993592755697E-5
9.643962132562E2,-7.707255510628E-5
9.674243188131E2,-9.420918265558E-5
9.704524243701E2,-1.113458102049E-4
9.734805299270E2,-1.284824377542E-4
9.765086354840E2,-1.456190653035E-4
9.795367410409E2,-1.627556928528E-4
9.825648465979E2,-1.798923204021E-4
9.855929521549E2,-1.970289479514E-4
9.886210577118E2,-2.141655755007E-4
9.916491632688E2,-2.313022030500E-4
9.946772688257E2,-2.484388305993E-4
9.977053743827E2,-2.655754581486E-4
