AS7343-F3 x,AS7343-F3 y
3.513217259455E2,2.444836176791E-3
4.362134002121E2,5.642892096893E-3
4.423846675712E2,1.541723202171E-2
4.456466551064E2,2.609972295232E-2
4.477419638854E2,3.416295652676E-2
4.494851959176E2,4.326426106972E-2
4.505909443472E2,5.141904588680E-2
4.516924810992E2,6.090065745074E-2
4.525827606348E2,7.013215871155E-2
4.533918445801E2,7.974397715971E-2
4.542379707369E2,8.890108958971E-2
4.550349804915E2,9.800233434715E-2
4.555442337250E2,1.062218718495E-1
4.560409344355E2,1.148671958943E-1
4.563447883950E2,1.239646922978E-1
4.568207763088E2,1.329386354867E-1
4.572185659930E2,1.415931410578E-1
4.576846477511E2,1.499978535913E-1
4.580939937848E2,1.583818950678E-1
4.585600755429E2,1.667866076013E-1
4.589682664410E2,1.757584354028E-1
4.592545090513E2,1.841872570292E-1
4.598348931994E2,1.970255614124E-1
4.599424688070E2,1.992721107218E-1
4.602320778126E2,2.059879550584E-1
4.603468839864E2,2.075207308492E-1
4.606560846228E2,2.144478851040E-1
4.606697193488E2,2.152140208802E-1
4.607042702807E2,2.168931961722E-1
4.609938792863E2,2.236090405087E-1
4.610284302182E2,2.252882158007E-1
4.613754706325E2,2.323586021708E-1
4.614287544560E2,2.325307360244E-1
4.615409646033E2,2.342074725770E-1
4.618305736089E2,2.409233169136E-1
4.619022078163E2,2.429166645607E-1
4.622858312091E2,2.499443598174E-1
4.623232601576E2,2.501590674800E-1
4.624147422014E2,2.518359213370E-1
4.627397842886E2,2.597056327786E-1
4.627414344824E2,2.588659380287E-1
4.627759854143E2,2.605451133207E-1
4.631114621940E2,2.684552505427E-1
4.631937373681E2,2.694669057398E-1
4.632385835937E2,2.702638532743E-1
4.634442672315E2,2.768077371637E-1
4.635265424055E2,2.778193923608E-1
4.635731782237E2,2.786992986833E-1
4.638611370355E2,2.862548377698E-1
4.638949199234E2,2.882483996247E-1
4.641828787352E2,2.958039387112E-1
4.641845289290E2,2.949642439613E-1
4.642190798609E2,2.966434192533E-1
4.644691873533E2,3.041991725476E-1
4.644708375471E2,3.033594777977E-1
4.645053884790E2,3.050386530897E-1
4.648408652587E2,3.129487903117E-1
4.649231404328E2,3.139604455089E-1
4.651943983997E2,3.213011596284E-1
4.653092783248E2,3.223531151414E-1
4.656653936588E2,3.311035706961E-1
4.661469846774E2,3.394450405494E-1
4.661772410361E2,3.402959790253E-1
4.662139372200E2,3.408835511424E-1
4.666516177191E2,3.483777655832E-1
4.667638278664E2,3.500545021359E-1
4.671283714669E2,3.570843046197E-1
4.672398135701E2,3.590754277353E-1
4.673496466526E2,3.601274118093E-1
4.678249054853E2,3.676838901802E-1
4.678272825501E2,3.683086426589E-1
4.679371156326E2,3.693606267329E-1
4.684123744653E2,3.769171051038E-1
4.684147515301E2,3.775418575825E-1
4.685296314552E2,3.785938130954E-1
4.690588047211E2,3.852678168598E-1
4.691396436700E2,3.869797178402E-1
4.692977034197E2,3.886676906144E-1
4.697560002086E2,3.934977864542E-1
4.699074318437E2,3.955807487690E-1
4.701077619288E2,3.968358777362E-1
4.708734174562E2,4.013065348533E-1
4.717024315839E2,4.042927227685E-1
4.719120975419E2,4.049123036578E-1
4.726417765534E2,4.085514759655E-1
4.732716096744E2,4.116360879651E-1
4.736490399294E2,4.128270050369E-1
4.747800075925E2,4.157889925659E-1
4.758943588849E2,4.171480080536E-1
4.767238012771E2,4.170425185105E-1
4.780514695812E2,4.146563961299E-1
4.785487559631E2,4.129149832587E-1
4.789139890270E2,4.111866880679E-1
4.798292498442E2,4.070186930345E-1
4.804188372276E2,4.038623710489E-1
4.813764754463E2,3.993018248401E-1
4.818158866844E2,3.965145064675E-1
4.825472166536E2,3.908604705814E-1
4.828032303553E2,3.886850584504E-1
4.828361713661E2,3.884319667821E-1
4.834858762252E2,3.827500839895E-1
4.837799113953E2,3.799375841815E-1
4.844108098299E2,3.743479955021E-1
4.847326786502E2,3.712826550683E-1
4.851899809027E2,3.652155058671E-1
4.853717534293E2,3.622815759956E-1
4.854295617795E2,3.617564454651E-1
4.858135773390E2,3.560654035872E-1
4.858885832294E2,3.534234687586E-1
4.859663013967E2,3.528254528191E-1
4.863952720160E2,3.476925473303E-1
4.865133093445E2,3.447685495624E-1
4.866771082651E2,3.432763063160E-1
4.869320116331E2,3.387615546842E-1
4.871172716674E2,3.359790483378E-1
4.871556602821E2,3.344214145767E-1
4.874316335794E2,3.300994714256E-1
4.875607354572E2,3.270024008598E-1
4.877245343778E2,3.255101576134E-1
4.878750973692E2,3.211228239477E-1
4.880598623454E2,3.185922260263E-1
4.880625026554E2,3.172487144264E-1
4.883742242575E2,3.127126491141E-1
4.885038211933E2,3.093636701233E-1
4.886676201139E2,3.078714268769E-1
4.888165329116E2,3.043237879611E-1
4.890039381978E2,3.004496784398E-1
4.890595909825E2,2.990953707646E-1
4.893156597998E2,2.959136131275E-1
4.895743689272E2,2.913883438906E-1
4.896300217119E2,2.900340362154E-1
4.898295707379E2,2.855905712541E-1
4.899470239339E2,2.828109477033E-1
4.899849174905E2,2.815052223672E-1
4.902613858460E2,2.769313707912E-1
4.905174546633E2,2.737496131541E-1
4.905731074480E2,2.723953054789E-1
4.908318165753E2,2.678700362419E-1
4.909012298151E2,2.650167122722E-1
4.910049225560E2,2.637361050159E-1
4.912044715821E2,2.592926400547E-1
4.914799498213E2,2.552226053286E-1
4.915050730391E2,2.549120794370E-1
4.917173924040E2,2.494734150312E-1
4.918343505418E2,2.469456999054E-1
4.918360007356E2,2.461060051555E-1
4.921503626476E2,2.402264282433E-1
4.921652782383E2,2.381396256239E-1
4.922689709793E2,2.368590183676E-1
4.926996915242E2,2.316305387788E-1
4.927823868592E2,2.267878849191E-1
4.928589008434E2,2.289426444672E-1
4.930583601566E2,2.224659417681E-1
4.931180190813E2,2.197151346125E-1
4.932070573486E2,2.110028945873E-1
4.932216271844E2,2.170712885740E-1
4.932613555992E2,2.141898931763E-1
4.948742618600E2,1.946965652038E-1
4.949836353275E2,1.852669788090E-1
4.953948333599E2,1.765085988901E-1
4.956248456177E2,1.671541347103E-1
4.968690917158E2,1.503533850610E-1
4.969320328563E2,1.517105202797E-1
4.971873480851E2,1.424921285390E-1
4.972694126794E2,1.413944751826E-1
4.977639028997E2,1.324240365019E-1
4.978177221030E2,1.298932799648E-1
4.982124984155E2,1.237557444461E-1
4.984434095705E2,1.196791644803E-1
4.987458341643E2,1.155937829522E-1
4.993767444951E2,1.070020967216E-1
4.993881445837E2,1.071932938833E-1
5.000102676327E2,9.879291905864E-2
5.003083578233E2,9.520105663730E-2
5.003083578233E2,9.520105663730E-2
5.003083578233E2,9.520105663730E-2
5.003083578233E2,9.520105663730E-2
5.003083578233E2,9.520105663730E-2
5.003083578233E2,9.520105663730E-2
5.003083578233E2,9.520105663730E-2
5.003083578233E2,9.520105663730E-2
5.003083578233E2,9.520105663730E-2
5.003083668192E2,9.519647911264E-2
5.007007041197E2,9.030002548590E-2
5.016407736683E2,8.147217748701E-2
5.018543270769E2,7.895191271403E-2
5.018543270769E2,7.895191271403E-2
5.018543270769E2,7.895191271403E-2
5.018543270769E2,7.895191271403E-2
5.018543270769E2,7.895191271403E-2
5.018543270769E2,7.895191271403E-2
5.018543270769E2,7.895191271403E-2
5.018543270769E2,7.895191271403E-2
5.018543270769E2,7.895191271403E-2
5.018543270769E2,7.895191271403E-2
5.018543270769E2,7.895191271403E-2
5.018543270769E2,7.895191271403E-2
5.025431778717E2,7.297791774424E-2
5.035839288524E2,6.449347110083E-2
5.048918840040E2,5.647022227665E-2
5.065168435550E2,4.710786382380E-2
5.067653037186E2,4.533670411331E-2
5.067653037186E2,4.533670411331E-2
5.077377147730E2,3.845627674965E-2
5.090146410923E2,3.024812286418E-2
5.097571050127E2,2.955234688462E-2
5.111169563517E2,2.240732523142E-2
5.119197062868E2,2.171412365614E-2
5.177661485511E2,1.168120063698E-2
5.210700083619E2,8.309592967524E-3
5.255389409139E2,2.685065729475E-3
6.648213848789E2,4.349155860044E-3
6.926667890058E2,1.032236359188E-2
7.404200124563E2,1.127827702026E-2
7.629688739610E2,1.237682674556E-2
7.740210089641E2,1.354043864137E-2
7.796487704067E2,1.776215672372E-2
7.826752257699E2,1.858471484609E-2
7.856000605204E2,2.046911712023E-2
7.886232154960E2,2.297106474243E-2
