Line 7 x,Line 7 y
3.491447530770E2,8.113014289125E-6
3.25E2,0
4.00E2,0
4.55E2,0
4.608413533860E2,2.740846660649E-3
4.650066959996E2,9.753255574390E-3
4.665972672261E2,1.074493903433E-2
4.709903076654E2,1.338799207915E-2
4.756847068970E2,2.072640181001E-2
4.759875018709E2,2.139470502511E-2
4.794685669344E2,3.210048210196E-2
4.798052737485E2,3.327184386005E-2
4.828714797773E2,4.951873305455E-2
4.854910592302E2,6.833150047477E-2
4.857126301505E2,7.016394065616E-2
4.873280114157E2,8.655881640608E-2
4.877182299609E2,8.992217042213E-2
4.890343747913E2,1.080621365860E-1
4.893192384384E2,1.112139510119E-1
4.906158292561E2,1.293065610791E-1
4.908724308991E2,1.320451526916E-1
4.919723028664E2,1.494289027985E-1
4.922412608012E2,1.529248443107E-1
4.930936226686E2,1.704008297674E-1
4.933275287939E2,1.730497472208E-1
4.942306985808E2,1.896778947824E-1
4.944871976393E2,1.927041330715E-1
4.953334138459E2,2.097103554641E-1
4.954015786196E2,2.133004865591E-1
4.962793010621E2,2.304742036419E-1
4.964878466123E2,2.334253894692E-1
4.972505009806E2,2.510700185614E-1
4.975407353488E2,2.550943073826E-1
4.983526327969E2,2.727384697157E-1
4.985611783471E2,2.756896555430E-1
4.992545549010E2,2.928651199802E-1
4.994631004512E2,2.958163058075E-1
5.001564770050E2,3.129917702447E-1
5.003650225552E2,3.159429560720E-1
5.014566682505E2,3.351505378188E-1
5.017086782439E2,3.366023579360E-1
5.025289354664E2,3.626696660656E-1
5.035668280723E2,3.839024634710E-1
5.048211712119E2,4.036230692660E-1
5.062230999728E2,4.237449801309E-1
5.079541118167E2,4.451725596787E-1
5.096203375044E2,4.655738581495E-1
5.121934329421E2,4.823153778941E-1
5.171018980472E2,4.824366454859E-1
5.207249132149E2,4.668604471586E-1
5.233729405349E2,4.501608854622E-1
5.255303637000E2,4.230334239105E-1
5.274385483034E2,4.022609801853E-1
5.289655089910E2,3.819358434556E-1
5.303751042266E2,3.593183241136E-1
5.315911252513E2,3.377956932741E-1
5.326468666891E2,3.165670214715E-1
5.335868852224E2,2.966338522370E-1
5.344579294200E2,2.758863406261E-1
5.361984843920E2,2.466570241726E-1
5.372042678650E2,2.225020308657E-1
5.380637328477E2,2.023586849890E-1
5.388095599538E2,1.822164162486E-1
5.397104687519E2,1.626991059618E-1
5.409142842269E2,1.435368836202E-1
5.424514215156E2,1.244162467174E-1
5.442237654718E2,1.042978066250E-1
5.462569639071E2,8.561432348298E-2
5.490771819321E2,6.936197679804E-2
5.524927810467E2,5.120792209071E-2
5.562108160897E2,3.472893396622E-2
5.604063486336E2,2.294363296654E-2
5.647778792601E2,1.686163687053E-2
5.733938767025E2,5.465467292721E-3
5.836663049614E2,1.576629110171E-3
1.048859107366E3,9.586878551558E-4
