AS7343-F6 x,AS7343-F6 y
6.206311487257E2,5.023208646334E-1
6.209169622856E2,5.109680068948E-1
6.214195570364E2,5.195949294657E-1
6.216386411315E2,5.280330278218E-1
6.220701497750E2,5.362220169055E-1
6.223638521779E2,5.451350149026E-1
6.228495346527E2,5.538839874931E-1
6.232376297760E2,5.627634636626E-1
6.237233122507E2,5.715124362530E-1
6.241921809208E2,5.810212193680E-1
6.247796499008E2,5.902544342916E-1
6.253881318392E2,5.993425846028E-1
6.260748383644E2,6.076056011974E-1
6.267657440434E2,6.164833637041E-1
6.274582999162E2,6.245214314610E-1
6.282467929466E2,6.332686903887E-1
6.289393488194E2,6.413067581456E-1
6.298228182362E2,6.495324247973E-1
6.309246448771E2,6.573944914840E-1
6.331812848494E2,6.647289680751E-1
6.354166491092E2,6.707830448175E-1
6.371614474340E2,6.779714738203E-1
6.388950807573E2,6.848490824807E-1
6.417234982441E2,6.887754877871E-1
6.443727221504E2,6.820591171112E-1
6.458375748439E2,6.741446226297E-1
6.470653190043E2,6.657408204795E-1
6.481181355044E2,6.565128174368E-1
6.488540138747E2,6.480704809955E-1
6.496975989432E2,6.394921690697E-1
6.503585642874E2,6.297848140079E-1
6.509823375302E2,6.205447444333E-1
6.516044605792E2,6.121443696087E-1
6.522723902568E2,6.035478089596E-1
6.528597354723E2,5.948677358123E-1
6.534851589089E2,5.847879714878E-1
6.540915948034E2,5.760238217615E-1
6.544282446450E2,5.671492407513E-1
6.550346805395E2,5.583850910250E-1
6.554445095987E2,5.495100958796E-1
6.559857250227E2,5.399066298373E-1
6.563160663110E2,5.310320845284E-1
6.567085580220E2,5.226330092313E-1
6.571750485468E2,5.138164714066E-1
6.575690859392E2,5.046308820271E-1
6.579726064452E2,4.957559225829E-1
6.585058631221E2,4.869921869919E-1
6.588331343625E2,4.777537953787E-1
6.591937567064E2,4.688790787035E-1
6.597778702924E2,4.592753698923E-1
6.603269186360E2,4.508222285353E-1
6.607193058347E2,4.424763339057E-1
6.612700043722E2,4.331834977988E-1
6.615109862930E2,4.248384600006E-1
6.648873363655E2,3.618961268303E-1
6.651109940021E2,3.597984465325E-1
6.654443434562E2,3.526032550221E-1
6.657364174387E2,3.497186822080E-1
6.660601579519E2,3.442029158987E-1
6.663601906815E2,3.404786126334E-1
6.666839311947E2,3.349628463241E-1
6.669475358969E2,3.317985394861E-1
6.673060542438E2,3.265624714995E-1
6.675696589460E2,3.233981646614E-1
6.679281772928E2,3.181620966748E-1
6.681917819950E2,3.149977898368E-1
6.685891426370E2,3.084547416131E-1
6.688312654753E2,3.062014650723E-1
6.693315682494E2,2.998297698636E-1
6.694818347216E2,2.980008543630E-1
6.699536912984E2,2.914293950389E-1
6.701039577706E2,2.896004795384E-1
6.704930445818E2,2.829339744086E-1
6.707167022185E2,2.808362941108E-1
6.710420929255E2,2.744808330516E-1
6.713421256550E2,2.707565297863E-1
6.716653711102E2,2.654926719020E-1
6.719658988978E2,2.615164602117E-1
6.721842971312E2,2.573257938281E-1
6.725896721406E2,2.522763906372E-1
6.727093436030E2,2.487960170647E-1
6.732134453834E2,2.430363210626E-1
6.732282696240E2,2.406291389907E-1
6.736996311427E2,2.343095880915E-1
6.738515478087E2,2.316409778411E-1
6.742389844261E2,2.258141674613E-1
6.744753210515E2,2.224009082665E-1
6.747959915168E2,2.165212956530E-1
6.750985992362E2,2.134127471169E-1
6.754118060126E2,2.081209565297E-1
6.756191754510E2,2.044061742931E-1
6.758243943333E2,1.997679501997E-1
6.760421800304E2,1.955221079554E-1
6.763548917487E2,1.904822257932E-1
6.765622611871E2,1.867674435566E-1
6.767472789474E2,1.821363311636E-1
6.769857608247E2,1.776314687940E-1
6.772963272911E2,1.736831898066E-1
6.776085439512E2,1.688952160693E-1
6.779107219326E2,1.640793096291E-1
6.781291201660E2,1.598886432455E-1
6.785361453692E2,1.539995453046E-1
6.785509696098E2,1.515923632328E-1
6.791234905847E2,1.453194721573E-1
6.791730926589E2,1.431919884081E-1
6.797517606055E2,1.363592722717E-1
6.797947206498E2,1.350435220084E-1
6.803710370702E2,1.268393330081E-1
6.804179988344E2,1.260553608588E-1
6.809369248555E2,1.178884827849E-1
6.809634237259E2,1.177034021072E-1
6.817945549474E2,1.093401634424E-1
6.818635086540E2,1.086466995475E-1
6.825575772043E2,1.012405449316E-1
6.825876735954E2,1.006006142971E-1
6.833416116011E2,9.253770013033E-2
6.834105653077E2,9.184423623544E-2
6.841046338581E2,8.443808161946E-2
6.841347302491E2,8.379815098497E-2
6.848886682549E2,7.573523681823E-2
6.849576219615E2,7.504177292334E-2
6.857336337645E2,6.715000300396E-2
6.858842057600E2,6.579998968600E-2
6.867045718410E2,5.764090214736E-2
6.867203014781E2,5.720347697869E-2
6.877284855574E2,4.908747666792E-2
6.890129210768E2,4.155236144936E-2
6.894804298105E2,4.083898200515E-2
6.927906566188E2,2.438340687622E-2
6.951676266577E2,1.863910221777E-2
6.977419608529E2,1.427116456237E-2
7.006284169204E2,1.149186470343E-2
7.063933688349E2,5.581441861675E-3
7.094281210057E2,5.850826926650E-3
7.124487892310E2,5.949522340911E-3
7.154776855058E2,5.530031979027E-3
7.186875324026E2,5.483877328827E-3
7.218383573692E2,4.654350311257E-3
7.266783756790E2,7.146015956926E-3
7.297064812359E2,7.128879329377E-3
7.327345867929E2,7.111742701828E-3
7.358662105763E2,7.798256402200E-3
7.389036207377E2,8.732877188341E-3
7.422331341856E2,9.427767435465E-3
7.455745627529E2,1.011292720626E-2
7.489038286718E2,1.093377166587E-2
7.519776779928E2,1.148616269462E-2
7.551326667518E2,1.202310015746E-2
7.581591221150E2,1.284565827983E-2
7.611876058413E2,1.263609160542E-2
7.645197939783E2,1.196997661206E-2
7.678531853816E2,1.069158419688E-2
7.709536427674E2,9.811028110606E-3
7.742146823419E2,9.396055154150E-3
7.772427878988E2,9.378918526601E-3
7.805737040115E2,9.360068236297E-3
7.893601277041E2,6.808081661654E-3
7.923882662649E2,6.774151139106E-3
7.957208325713E2,5.915606098886E-3
7.987512071447E2,4.743889190202E-3
8.017836444603E2,2.522553844124E-3
8.089798770677E2,-1.451386880797E-4
9.995602279215E2,-1.223669283982E-3
