Line 9 x;Line 9 y
5,500000000000E2;2,735222277893E-6
7,167413382349E2;3,960601858310E-3
7,228543263745E2;1,329744522880E-2
7,244197780467E2;1,440514533424E-2
7,261901916934E2;1,557187309729E-2
7,279121650507E2;1,886522767381E-2
7,293816471367E2;2,290213433954E-2
7,307391446196E2;2,775630256226E-2
7,320342406152E2;3,433817205287E-2
7,331952081359E2;4,094642234196E-2
7,344396484029E2;4,927543131800E-2
7,355264854451E2;5,826882068358E-2
7,364693754245E2;6,720280104836E-2
7,373763600690E2;7,689334749397E-2
7,382876871355E2;8,770835742626E-2
7,389175845906E2;9,664429399432E-2
7,395474820457E2;1,055802305624E-1
7,400305645689E2;1,142893012424E-1
7,404740815870E2;1,232315762261E-1
7,409664212730E2;1,329785485595E-1
7,413282472681E2;1,417525289624E-1
7,417372939145E2;1,511472161581E-1
7,421076440654E2;1,602420208848E-1
7,424437390011E2;1,693939781861E-1
7,427606439319E2;1,783318709575E-1
7,430775488628E2;1,872697637288E-1
7,433944537936E2;1,962076565001E-1
7,437121412057E2;2,069335190664E-1
7,440298286179E2;2,176593816327E-1
7,443475160300E2;2,283852441989E-1
7,446079542217E2;2,392019275777E-1
7,447725407817E2;2,491731148656E-1
7,450082283443E2;2,587766843993E-1
7,452779817898E2;2,695933095577E-1
7,455147721232E2;2,788786552759E-1
7,458625445444E2;2,891711716579E-1
7,461409701805E2;2,992278533739E-1
7,464203160085E2;3,117419302605E-1
7,465856734057E2;3,213459393577E-1
7,467915975683E2;3,321177319467E-1
7,469419702156E2;3,415382480122E-1
7,472601792819E2;3,534560904417E-1
7,474788781506E2;3,625542375979E-1
7,475986459200E2;3,719297134414E-1
7,478999881670E2;3,850396444121E-1
7,481769795645E2;3,964309304823E-1
7,482221096399E2;4,058973358163E-1
7,485408403604E2;4,190071581091E-1
7,486852419300E2;4,286192802101E-1
7,488624401791E2;4,386728696500E-1
7,490813998749E2;4,483670067378E-1
7,491840399978E2;4,583385811909E-1
7,494029996936E2;4,680327182786E-1
7,495056398165E2;4,780042927317E-1
7,497826312140E2;4,893955788019E-1
7,498280221165E2;4,994579740675E-1
7,500469818123E2;5,091521111553E-1
7,501496219352E2;5,191236856084E-1
7,504266133327E2;5,305149716785E-1
7,504727867165E2;5,423653367391E-1
7,507562987916E2;5,537565820550E-1
7,507951690165E2;5,638190180749E-1
7,510721604141E2;5,752103041450E-1
7,511183337978E2;5,870606692056E-1
7,513953251954E2;5,984519552758E-1
7,514414985791E2;6,103023203363E-1
7,517184899767E2;6,216936064065E-1
7,517646633605E2;6,335439714670E-1
7,520416547580E2;6,449352575372E-1
7,520878281418E2;6,567856225977E-1
7,523713402169E2;6,681768679137E-1
7,524102104418E2;6,782393039335E-1
7,526937225169E2;6,896305492495E-1
7,527325927418E2;6,996929852693E-1
7,530095841393E2;7,110842713395E-1
7,530549750418E2;7,211466666051E-1
7,533319664393E2;7,325379526753E-1
7,533781398231E2;7,443883177358E-1
7,536138669756E2;7,540823500270E-1
7,536997396418E2;7,640540292767E-1
7,539767310393E2;7,754453153469E-1
7,540221219418E2;7,855077106125E-1
7,542578490943E2;7,952017429037E-1
7,543437217605E2;8,051734221534E-1
7,545626814563E2;8,148675592411E-1
7,546653215792E2;8,248391336942E-1
7,549488336543E2;8,362303790101E-1
7,550056140070E2;8,474846862153E-1
7,553069562539E2;8,605946171861E-1
7,554779225983E2;8,702438227299E-1
7,556285560726E2;8,802603287270E-1
7,558642832251E2;8,899543610182E-1
7,559498950642E2;8,993300503362E-1
7,562681041306E2;9,112478927658E-1
7,565448347010E2;9,220431889043E-1
7,568633045945E2;9,345570212655E-1
7,571237427862E2;9,453737046443E-1
7,573660895908E2;9,542295824288E-1
7,577429491246E2;9,645756626840E-1
7,581739677763E2;9,750070782317E-1
7,585692186484E2;9,841679781765E-1
7,592857293324E2;9,930608025861E-1
7,612955372365E2;9,974011082292E-1
7,621841573241E2;9,898197211379E-1
7,627694968157E2;9,800183226969E-1
7,633943395812E2;9,658693198998E-1
7,637152936200E2;9,566485424745E-1
7,640243737377E2;9,477067372966E-1
7,643810566649E2;9,374208155321E-1
7,646995513058E2;9,273718971873E-1
7,649984344190E2;9,177492353814E-1
7,652784113553E2;9,082914408350E-1
7,655859265104E2;8,957736960673E-1
7,658934416655E2;8,832559512995E-1
7,662009568206E2;8,707382065318E-1
7,665212455174E2;8,576084263079E-1
7,666585880343E2;8,478126594530E-1
7,668717272802E2;8,389708567839E-1
7,670789014334E2;8,291849236929E-1
7,671913926312E2;8,194501352262E-1
7,674798363569E2;8,087630551661E-1
7,675764386118E2;7,995316063803E-1
7,677953160539E2;7,889017931620E-1
7,679959695296E2;7,791159008253E-1
7,681084607273E2;7,693811123585E-1
7,683969044530E2;7,586940322985E-1
7,685083738528E2;7,494624905929E-1
7,687211435936E2;7,389817134383E-1
7,690095873193E2;7,282946333783E-1
7,691210567191E2;7,190630916727E-1
7,693258494976E2;7,102213411690E-1
7,695265029733E2;7,004354488323E-1
7,696389941710E2;6,907006603655E-1
7,699274378967E2;6,800135803055E-1
7,700389072965E2;6,707820386000E-1
7,702437419937E2;6,620360721925E-1
7,703292078628E2;6,529004773671E-1
7,705481272235E2;6,423664482450E-1
7,706335930926E2;6,332308534197E-1
7,708467742571E2;6,244848348468E-1
7,708581000531E2;6,155981041657E-1
7,711465437787E2;6,049110241057E-1
7,711536839207E2;5,956837529782E-1
7,714101887466E2;5,858057182273E-1
7,714581110692E2;5,761099131269E-1
7,716250456553E2;5,664359799511E-1
7,717625382177E2;5,565360732757E-1
7,718480040868E2;5,474004784503E-1
7,720669234476E2;5,368664493282E-1
7,720717285659E2;5,279797594014E-1
7,723601722916E2;5,172926793414E-1
7,723673124336E2;5,080654082139E-1
7,726238172594E2;4,981873734630E-1
7,726717395821E2;4,884915683626E-1
7,728723930578E2;4,787056760259E-1
7,729761667306E2;4,689177285114E-1
7,730764997446E2;4,597820407664E-1
7,732813344418E2;4,510360743589E-1
7,732861395601E2;4,421493844320E-1
7,735745832858E2;4,314623043720E-1
7,735817234278E2;4,222350332445E-1
7,738382282536E2;4,123569984936E-1
7,738861086576E2;4,025654092971E-1
7,741106211762E2;3,928067728105E-1
7,741905358061E2;3,829915694458E-1
7,743911892818E2;3,732056771091E-1
7,744949629546E2;3,634177295946E-1
7,745952959686E2;3,542820418496E-1
7,747993481845E2;3,437481056471E-1
7,748996811985E2;3,346124179022E-1
7,751037334143E2;3,240784816997E-1
7,751891992834E2;3,149428868744E-1
7,754081186442E2;3,044088577523E-1
7,755084516582E2;2,952731700073E-1
7,757125038741E2;2,847392338049E-1
7,758128368881E2;2,756035460599E-1
7,760176715852E2;2,668575796524E-1
7,761180045992E2;2,577218919074E-1
7,763219729778E2;2,469963875126E-1
7,765971017904E2;2,371033365728E-1
7,767306874655E2;2,273224929871E-1
7,769354383254E2;2,183849583873E-1
7,771791696096E2;2,091189590926E-1
7,774866847647E2;1,966012143249E-1
7,776524504495E2;1,879812888890E-1
7,778660026716E2;1,792884815293E-1
7,781300357750E2;1,702937443629E-1
7,784906255195E2;1,587888535341E-1
7,787919321745E2;1,492194433268E-1
7,791066683872E2;1,401983630111E-1
7,794621898822E2;1,314285746048E-1
7,799207046646E2;1,198953039558E-1
7,803417795688E2;1,097950739139E-1
7,807754124780E2;1,001344671895E-1
7,811601550608E2;9,127996242391E-2
7,818599066718E2;7,855832877058E-2
7,824336412514E2;6,910834762615E-2
7,850706897140E2;3,880868340116E-2
7,861437915699E2;3,025269041453E-2
7,877409630782E2;2,040139742821E-2
7,895659877103E2;1,466847203088E-2
7,968275524410E2;9,600630195214E-4
8,2E2;0
9,500000000000E2;0
