AS7343-F2 x,AS7343-F2 y
3.504421817885E2,0
3.906734954141E2,0
3.972195284694E2,9.500302971742E-3
4.002419958644E2,1.235212340641E-2
4.036157173157E2,2.586246205974E-2
4.051666337530E2,3.488580123758E-2
4.064466341721E2,4.306673976142E-2
4.075341763232E2,5.131874122761E-2
4.083254700174E2,5.932876050732E-2
4.090180258901E2,6.736682826418E-2
4.097131927279E2,7.579598471784E-2
4.105966621448E2,8.402165136964E-2
4.112870727656E2,9.315132230139E-2
4.119807356433E2,1.019101137714E-1
4.126105376186E2,1.106740148635E-1
4.127627837504E2,1.190729229595E-1
4.142346763701E2,1.340972945572E-1
4.147119569357E2,1.424134768587E-1
4.151085914843E2,1.516557687547E-1
4.154642941880E2,1.600506098767E-1
4.159833041921E2,1.688083904897E-1
4.164150593415E2,1.778273172410E-1
4.168561466804E2,1.869126662747E-1
4.172888369395E2,1.954557660010E-1
4.177639904659E2,2.045409222476E-1
4.183640799903E2,2.131303069339E-1
4.189081626259E2,2.213281553819E-1
4.195225160127E2,2.297215327504E-1
4.203128827006E2,2.388911228440E-1
4.209771888277E2,2.475466192113E-1
4.218898650780E2,2.561582259213E-1
4.233372414337E2,2.634343058839E-1
4.263876894355E2,2.659890792006E-1
4.284015701890E2,2.589103300543E-1
4.293591852427E2,2.509833785366E-1
4.314408538441E2,2.385307589473E-1
4.321604745317E2,2.301678181335E-1
4.329394900803E2,2.216036164694E-1
4.336048649043E2,2.133899268412E-1
4.340805391503E2,2.050363635708E-1
4.347038173350E2,1.960482024212E-1
4.352238984917E2,1.872935380223E-1
4.356469030711E2,1.784094716847E-1
4.361669842278E2,1.696548072858E-1
4.365890720330E2,1.612372380315E-1
4.375368699891E2,1.412007122869E-1
4.381596531156E2,1.324644595622E-1
4.386785791366E2,1.242975814883E-1
4.393007021857E2,1.158972066636E-1
4.398257486575E2,1.073674299002E-1
4.403458298141E2,9.861276550135E-2
4.409691079988E2,8.962460435174E-2
4.414880340198E2,8.145772627780E-2
4.421101570689E2,7.305735145313E-2
4.427811215969E2,6.468968786636E-2
4.436679774307E2,5.524895407838E-2
4.450105379559E2,4.692822079521E-2
4.468711085055E2,3.965791135393E-2
4.501797882572E2,3.169366370039E-2
4.548852745204E2,1.918021265343E-2
4.570691684509E2,1.217047515438E-2
4.640708528891E2,5.485241452944E-3
4.724795360011E2,0
9.995554085015E2,0
