AS7343-FZ x,AS7343-FZ y
3.587411582966E2,7.782118051208E-3
3.657314936777E2,7.509312460972E-3
3.687595992346E2,7.492175833422E-3
3.720064013040E2,7.473801560550E-3
3.882431089320E2,9.311192126436E-3
3.911626297748E2,9.884449039306E-3
3.914654403305E2,9.882735376551E-3
3.942347775920E2,1.101569715899E-2
3.948476317347E2,1.169033476238E-2
3.972906160665E2,1.338904360279E-2
3.984764078217E2,1.418885505907E-2
4.006482861747E2,1.597796484599E-2
4.013577625908E2,1.690410130143E-2
4.034708357056E2,2.025088466181E-2
4.042911747745E2,2.173568418569E-2
4.062495901090E2,2.513332405845E-2
4.074558817505E2,2.764555365718E-2
4.088349673420E2,3.119641589100E-2
4.097384484278E2,3.371035915248E-2
4.109430898755E2,3.706228350113E-2
4.118157765121E2,3.983763649553E-2
4.129489370666E2,4.446582070126E-2
4.134441132305E2,4.684008616769E-2
4.144209284852E2,5.239310067103E-2
4.147870394423E2,5.480387480442E-2
4.154962967739E2,6.064891962701E-2
4.157521979934E2,6.337180076087E-2
4.163882265033E2,6.904072613790E-2
4.166776261651E2,7.139195686580E-2
4.171806289214E2,7.717444279746E-2
4.174799518466E2,7.997919743356E-2
4.181225569434E2,8.602989254813E-2
4.183305137722E2,8.795939235109E-2
4.191428981050E2,9.589182129942E-2
4.192478299647E2,9.719074060630E-2
4.201466072615E2,1.049872313865E-1
4.202436948891E2,1.057988776593E-1
4.209341055100E2,1.149285485910E-1
4.209367458200E2,1.135850369912E-1
4.215253699356E2,1.222304655898E-1
4.216175082098E2,1.240472633016E-1
4.218082406500E2,1.323750634885E-1
4.219409884246E2,1.306328396877E-1
4.230983041815E2,1.445382031070E-1
4.231942413392E2,1.452473942778E-1
4.236874233552E2,1.529317232806E-1
4.237833605129E2,1.536409144514E-1
4.243741298805E2,1.611947398752E-1
4.244747612501E2,1.622667685332E-1
4.249632490542E2,1.695882600488E-1
4.250633853657E2,1.709121971319E-1
4.257417279624E2,1.779282282614E-1
4.259745383791E2,1.797027454248E-1
4.265472395983E2,1.862700427416E-1
4.267438081256E2,1.880512625705E-1
4.271368538302E2,1.944116544902E-1
4.272273419105E2,1.970681469519E-1
4.277248178683E2,2.033929609888E-1
4.278148108905E2,2.063013618755E-1
4.282116554787E2,2.115541472543E-1
4.284022798705E2,2.155345767991E-1
4.286951892636E2,2.205710316358E-1
4.289033541674E2,2.243084529215E-1
4.292890060872E2,2.301510806806E-1
4.294908231474E2,2.335416678450E-1
4.299082044624E2,2.383719952333E-1
4.301480043829E2,2.417718638877E-1
4.304245746476E2,2.474641655118E-1
4.307284195212E2,2.507881999991E-1
4.312557374651E2,2.556853799555E-1
4.315140959263E2,2.590426595003E-1
4.319449929503E2,2.654028372122E-1
4.321415614776E2,2.671840570411E-1
4.326316994755E2,2.736658538068E-1
4.327594175971E2,2.756293951124E-1
4.334180438162E2,2.826810245255E-1
4.335726696731E2,2.839304310492E-1
4.341837587703E2,2.911875026157E-1
4.343623647420E2,2.927539046179E-1
4.351363139665E2,2.998218750295E-1
4.353973040611E2,3.016260548792E-1
4.363456569931E2,3.075683763290E-1
4.367657020286E2,3.099121202378E-1
4.378949448463E2,3.153109545650E-1
4.385533068380E2,3.173609593369E-1
4.399071189262E2,3.229191292790E-1
4.402841734674E2,3.244235143701E-1
4.417091305165E2,3.304661000517E-1
4.420861850577E2,3.319704851428E-1
4.436598314407E2,3.383241958179E-1
4.442865612807E2,3.404198625620E-1
4.457284524610E2,3.450299723858E-1
4.464581475160E2,3.473769620534E-1
4.478727761202E2,3.517353205380E-1
4.486857286075E2,3.537687063513E-1
4.504504367328E2,3.573226343074E-1
4.514800554867E2,3.582936915079E-1
