AS7343-FZ x,AS7343-FZ y
4.535110137811E2,3.585753381019E-1
4.546952425530E2,3.576626007721E-1
4.567504772359E2,3.536393477642E-1
4.573913412801E2,3.525967102584E-1
4.597131776577E2,3.488413725606E-1
4.604238404779E2,3.476657897104E-1
4.627278203838E2,3.428345561889E-1
4.631466601885E2,3.415726577778E-1
4.644114305715E2,3.335884887947E-1
4.645082419390E2,3.356871544486E-1
4.670141279632E2,3.218501518927E-1
4.684778747158E2,3.124042374200E-1
4.694652864900E2,3.043108462372E-1
4.702657033163E2,2.961377102340E-1
4.711990673566E2,2.870762377248E-1
4.718823476425E2,2.788541998558E-1
4.729909856301E2,2.709833723234E-1
4.739654377352E2,2.625293562844E-1
4.751672100395E2,2.535044005513E-1
4.765093104668E2,2.446183316764E-1
4.775291283712E2,2.364293761689E-1
4.784465986554E2,2.273538322443E-1
4.791552611069E2,2.184831436966E-1
4.801550317519E2,2.046818543486E-1
4.809828222151E2,1.961536630632E-1
4.819077558198E2,1.877515745758E-1
4.829134855633E2,1.792335721035E-1
4.840348472324E2,1.710332959666E-1
4.856623622918E2,1.625106084628E-1
4.870864222118E2,1.547937708695E-1
4.883624209519E2,1.467518932731E-1
4.893078798238E2,1.380860374064E-1
4.923801383777E2,1.168858370676E-1
4.934659501582E2,1.080191368660E-1
4.953951294781E2,1.008576065882E-1
4.977342057966E2,9.534909478458E-2
4.998687314303E2,8.777984639606E-2
5.053361809125E2,6.376189181014E-2
5.075628377808E2,5.639271354825E-2
5.096186919412E2,4.904291166093E-2
5.113791492214E2,4.221775221620E-2
5.155633117714E2,3.689006039426E-2
5.188317732069E2,3.687156354690E-2
5.226240783391E2,3.073905834241E-2
5.247628944766E2,2.441065411403E-2
5.274285899798E2,1.876967617944E-2
5.304406336508E2,1.665341692128E-2
5.335107540577E2,1.631509609985E-2
5.367996553204E2,1.661743000343E-2
5.398277608773E2,1.660029337588E-2
5.429102884495E2,1.617612614273E-2
5.459385659016E2,1.446649763553E-2
5.489203285170E2,1.235040974365E-2
5.533939838809E2,3.753586760682E-3
9.995602279215E2,-1.223669283982E-3
