AS7343-F1 x,AS7343-F1 y
3.499975902900E2,0
3.606075435045E2,0
3.681101756493E2,9.706775363125E-3
3.729573073530E2,1.826245078631E-2
3.753349338035E2,2.578809623644E-2
3.771618986809E2,3.457845990264E-2
3.786189569100E2,4.321047705013E-2
3.795699733988E2,5.131322401556E-2
3.807060525698E2,6.069294486423E-2
3.816549932196E2,6.893481812452E-2
3.825469229490E2,7.732662463541E-2
3.833661837440E2,8.604005538430E-2
3.841644617031E2,9.439407291135E-2
3.849227388345E2,1.029249173139E-1
3.857375121829E2,1.120568833297E-1
3.864365454345E2,1.210408100492E-1
3.871232591220E2,1.296441157803E-1
3.878060300660E2,1.380754249378E-1
3.885729502509E2,1.472526449108E-1
3.894632297866E2,1.564841461716E-1
3.906061019279E2,1.646696093261E-1
3.922367592313E2,1.720962619327E-1
3.943306809307E2,1.783400683431E-1
3.965049827825E2,1.852604995317E-1
3.993589703054E2,1.920323051576E-1
4.023082686982E2,1.960166155365E-1
4.056358015207E2,1.939223119703E-1
4.080072404637E2,1.868652804394E-1
4.097196472202E2,1.778424663768E-1
4.111807570679E2,1.699951345887E-1
4.122978166916E2,1.619203357968E-1
4.132890072949E2,1.539677038186E-1
4.156047955814E2,1.302876318461E-1
4.167749282688E2,1.113946189773E-1
4.173866729251E2,1.029098845134E-1
4.176432891058E2,9.454281645839E-2
4.193231061398E2,8.080678604014E-2
4.201453726858E2,7.156600966467E-2
4.208659169825E2,6.295473999196E-2
4.216289392395E2,5.485512148109E-2
4.225067760195E2,4.611342685717E-2
4.234515212809E2,3.762725771068E-2
4.245414657491E2,2.927155100177E-2
4.259631191365E2,2.125067427446E-2
4.276288762904E2,1.402695027915E-2
4.326759459039E2,5.662911226283E-3
4.437377197470E2,0
1.000000000000E3,0
