Symbols 14 x,Symbols 14 y
9.312842885079E2,4.378132371840E-1
9.367468055823E2,4.156127405528E-1
9.422093226568E2,3.934122439217E-1
9.472172882249E2,3.712160558356E-1
9.526798052994E2,3.490155592045E-1
9.581423223738E2,3.268150625734E-1
9.636041213574E2,3.066280926777E-1
9.690666384318E2,2.844275960466E-1
9.749829889216E2,2.642363176058E-1
9.804447879052E2,2.440493477102E-1
9.859065868888E2,2.238623778145E-1
9.918229373786E2,2.036710993738E-1
9.972840182714E2,1.854976562136E-1
1.003654920267E3,1.653020692277E-1
1.009115283069E3,1.491421528030E-1
1.015485466975E3,1.309600925526E-1
1.021400381283E3,1.147958675828E-1
1.021610018886E3,1.137920411575E-1
1.027770565188E3,9.661380733244E-2
1.033894399008E3,8.145928267279E-2
1.034594582509E3,8.044096527246E-2
1.040718416329E3,6.528644061281E-2
1.047331359865E3,5.414447844907E-2
1.047540997468E3,5.314065202376E-2
