Symbols 14 x,Symbols 14 y
3.495727145808E2,4.056507144602E-6
3.816698273618E2,-3.001815286946E-4
3.876029498815E2,1.477661326376E-2
3.919892798140E2,3.834699708541E-2
3.921398478539E2,3.889584863853E-2
3.953470261506E2,6.566689250169E-2
3.955797155184E2,6.620531892654E-2
3.956156385922E2,6.650190302128E-2
3.978417016870E2,9.638667723313E-2
4.003255499941E2,1.260253005698E-1
4.005582393619E2,1.265637269946E-1
4.030420876689E2,1.562023503313E-1
4.032747770367E2,1.567407767561E-1
4.033107001105E2,1.570373608509E-1
4.059920328024E2,1.849042997822E-1
4.060279558762E2,1.852008838769E-1
4.061785239161E2,1.857497354300E-1
4.062131768500E2,1.863750915477E-1
4.096183915806E2,2.130592057181E-1
4.096543146544E2,2.133557898128E-1
4.098048826943E2,2.139046413659E-1
4.098395356282E2,2.145299974836E-1
4.143017337574E2,2.376966710423E-1
4.143417806668E2,2.380238767407E-1
4.256533138695E2,2.718189119181E-1
4.256933607788E2,2.721461176166E-1
4.315560206333E2,2.898846414513E-1
4.315960675426E2,2.902118471497E-1
4.378410037263E2,3.075235737245E-1
4.379132789033E2,3.079460624393E-1
4.379533258126E2,3.082732681377E-1
4.438159856670E2,3.260117919724E-1
4.438560325763E2,3.263389976708E-1
4.496464172538E2,3.436550327907E-1
4.497186924307E2,3.440775215055E-1
4.552061765067E2,3.644882920176E-1
4.610702725428E2,3.781997623814E-1
4.615648709584E2,3.785226595347E-1
4.674289669945E2,3.922341298985E-1
4.679228473193E2,3.945705537873E-1
4.733316737583E2,4.102998594316E-1
4.737132319968E2,4.118865889072E-1
4.738255540830E2,4.126362833204E-1
4.801449197162E2,4.243299184037E-1
4.801849666256E2,4.246571241021E-1
4.860490626617E2,4.383685944658E-1
4.860891095710E2,4.386958001643E-1
4.919524875162E2,4.544207972635E-1
4.919925344256E2,4.547480029619E-1
4.983111819679E2,4.684551647806E-1
4.983512288773E2,4.687823704790E-1
5.046691583288E2,4.845030590332E-1
5.047092052381E2,4.848302647316E-1
5.109548595127E2,5.001284645709E-1
5.110271346896E2,5.005509532858E-1
5.115217331052E2,5.008738504391E-1
5.171455968673E2,5.139142595012E-1
5.173135539644E2,5.141628320880E-1
5.237445235930E2,5.286196883200E-1
5.241267999224E2,5.281928910601E-1
5.242391220086E2,5.289425854733E-1
5.298622676799E2,5.439965212709E-1
5.363896373195E2,5.562659346393E-1
5.364619124964E2,5.566884233542E-1
5.365019594058E2,5.570156290526E-1
5.427483317712E2,5.703003021565E-1
5.428206069481E2,5.707227908713E-1
5.433152053637E2,5.710456880246E-1
5.487247498936E2,5.847614669335E-1
5.487647968029E2,5.850886726319E-1
5.554657206746E2,5.983690371907E-1
5.555379958515E2,5.987915259055E-1
5.555780427609E2,5.991187316039E-1
5.614414207061E2,6.148437287032E-1
5.619360191217E2,6.151666258565E-1
5.678008332487E2,6.268645694848E-1
5.681831095780E2,6.264377722249E-1
5.740253396480E2,6.348433681179E-1
5.818110376756E2,6.504708366980E-1
5.818833128525E2,6.508933254128E-1
5.819233597619E2,6.512205311112E-1
5.881704502182E2,6.624916774796E-1
5.882427253951E2,6.629141661945E-1
5.882827723044E2,6.632413718929E-1
5.945291446699E2,6.765260449967E-1
5.946014198468E2,6.769485337116E-1
5.946414667561E2,6.772757394100E-1
6.009608323893E2,6.889693744932E-1
6.014547127141E2,6.913057983820E-1
6.067912639761E2,7.066126153115E-1
6.068635391531E2,7.070351040263E-1
6.069035860624E2,7.073623097248E-1
6.131506765187E2,7.186334560931E-1
6.138911043433E2,7.203897931516E-1
6.204191920738E2,7.306456797846E-1
6.204914672507E2,7.310681684994E-1
6.205315141600E2,7.313953741979E-1
6.267778865254E2,7.446800473017E-1
6.340471201714E2,7.546787442577E-1
6.341193953483E2,7.551012329726E-1
6.404072508048E2,7.646860583039E-1
6.406931271231E2,7.664467039075E-1
6.472212148536E2,7.767025905405E-1
6.544904484995E2,7.867012874965E-1
6.613044125483E2,7.987178197330E-1
6.679511375908E2,8.084722526473E-1
6.749337768276E2,8.187238307352E-1
6.750060520045E2,8.191463194500E-1
6.812931893701E2,8.307446715168E-1
6.813654645470E2,8.311671602317E-1
6.814055114564E2,8.314943659301E-1
6.883951840098E2,8.384812691505E-1
6.956658538374E2,8.444529126356E-1
7.024812540679E2,8.524423914012E-1
7.026492111650E2,8.526909639881E-1
7.092973723892E2,8.584183434314E-1
7.165680422168E2,8.643899869165E-1
7.238379939536E2,8.723751571370E-1
7.306562665475E2,8.723105289608E-1
7.379290906476E2,8.722415922394E-1
7.451997604752E2,8.782132357245E-1
7.526979222554E2,8.794650240435E-1
7.670196689574E2,8.739793720896E-1
7.813382576039E2,8.691259520260E-1
7.881594025612E2,8.610072169079E-1
7.954343809339E2,8.548976999801E-1
8.022548078003E2,8.487924915975E-1
8.093230209336E2,8.356326941532E-1
8.152372171509E2,8.214819959188E-1
8.154468547537E2,8.204781694935E-1
8.222701539835E2,8.063188541690E-1
8.225150678869E2,8.073183720493E-1
8.286381836162E2,7.941773741251E-1
8.288830975197E2,7.951768920053E-1
8.352518452432E2,7.810218852259E-1
8.354614828460E2,7.800180588006E-1
8.416220291485E2,7.628398249755E-1
8.475369434566E2,7.466756000057E-1
8.539071273619E2,7.284935397553E-1
8.595771277666E2,7.113297969053E-1
8.598227597609E2,7.103157880500E-1
8.657383921598E2,6.921380363447E-1
8.716547426497E2,6.719467579040E-1
8.771172597241E2,6.497462612729E-1
8.825790587077E2,6.295592913772E-1
8.880408576913E2,6.093723214815E-1
8.939572081811E2,5.891810430408E-1
8.994190071647E2,5.689940731451E-1
9.048822423300E2,5.447800497785E-1
9.098894898073E2,5.245973884279E-1
9.153520068817E2,5.023968917968E-1
9.203599724499E2,4.802007037108E-1
9.258217714335E2,4.600137338151E-1
