AS7343-F4 x,AS7343-F4 y
3.517663174441E2,1.216162110461E-3
4.561139904056E2,4.304112818916E-3
4.653949885446E2,6.703905954579E-3
4.701912342300E2,1.195626731002E-2
4.730397633441E2,1.526889981978E-2
4.756246347141E2,2.067224169205E-2
4.780349249154E2,2.750553618969E-2
4.796813180768E2,3.495017630502E-2
4.810758091603E2,4.281433534328E-2
4.824358199525E2,5.066011313841E-2
4.834844945153E2,5.853522584780E-2
4.845888185886E2,6.707544099347E-2
4.855963257284E2,7.553756683949E-2
4.864106449460E2,8.471718424029E-2
4.874030109686E2,9.350987195960E-2
4.884967456438E2,1.147757127221E-1
4.896562273782E2,1.244514235221E-1
4.901041473832E2,1.334889108962E-1
4.907760694939E2,1.421544512931E-1
4.913988111200E2,1.507735715983E-1
4.917562963768E2,1.595453863953E-1
4.922911241757E2,1.686004660755E-1
4.927562158175E2,1.775089954589E-1
4.931792977498E2,1.862408288717E-1
4.937089356648E2,1.952082207858E-1
4.941815017867E2,2.053704881399E-1
4.945294779383E2,2.141302362916E-1
4.949634479571E2,2.225036423487E-1
4.954994308917E2,2.309709357039E-1
4.960402901488E2,2.438906333558E-1
4.961651071380E2,2.468045683531E-1
4.963661126565E2,2.522100718885E-1
4.966240840261E2,2.558407511953E-1
4.967747986128E2,2.609299912650E-1
4.969474759196E2,2.645501573868E-1
4.972337845377E2,2.729453912232E-1
4.972392301771E2,2.701743985485E-1
4.972692176193E2,2.740992583282E-1
4.975250437370E2,2.788215408099E-1
4.976686597074E2,2.818670867388E-1
4.976710367722E2,2.824918392175E-1
4.978293927546E2,2.876671287884E-1
4.980704788603E2,2.902596676281E-1
4.981059119419E2,2.914135347331E-1
4.983976661994E2,2.970377758948E-1
4.984317220732E2,2.989688596117E-1
4.984875032882E2,3.001630963951E-1
4.987031703526E2,3.052955775484E-1
4.989442564583E2,3.078881163880E-1
4.989796895400E2,3.090419834931E-1
4.992714437974E2,3.146662246547E-1
4.993054996713E2,3.165973083717E-1
4.994169417745E2,3.185884314873E-1
4.995769479507E2,3.229240263083E-1
4.998180340564E2,3.255165651480E-1
4.998518169443E2,3.275101270029E-1
5.001337594246E2,3.317069584924E-1
5.001776270755E2,3.350654518816E-1
5.002335642240E2,3.360427690513E-1
5.004321900911E2,3.403540293512E-1
5.006901614606E2,3.439847086579E-1
5.007255945423E2,3.451385757629E-1
5.009670178900E2,3.494091090313E-1
