angle,response
-8.848151736430E1,2.049569137783E-2
-8.834593953134E1,2.087174810015E-2
-8.815881973239E1,2.138538023460E-2
-8.803093412869E1,2.158518411703E-2
-8.769987598197E1,2.198552962354E-2
-8.747216735925E1,2.226908097337E-2
-8.729514020973E1,2.248794276402E-2
-8.716924815464E1,2.265356198985E-2
-8.701153731436E1,2.290218459882E-2
-8.687965408315E1,2.310555590404E-2
-8.662429770699E1,2.344078915946E-2
-8.648377848515E1,2.358610082323E-2
-8.623669967810E1,2.384058446237E-2
-8.602076627955E1,2.412037126133E-2
-8.583855423997E1,2.441315472402E-2
-8.571370506965E1,2.464814464802E-2
-8.556559531879E1,2.497147075551E-2
-8.544526819427E1,2.517362659427E-2
-8.521408427132E1,2.545352339634E-2
-8.501640293190E1,2.560136757615E-2
-8.474242150309E1,2.577214129312E-2
-8.453271705981E1,2.600427230031E-2
-8.439861676014E1,2.622013914399E-2
-8.427376758982E1,2.645512906799E-2
-8.412565783896E1,2.677845517548E-2
-8.400533071444E1,2.698061101424E-2
-8.377414679149E1,2.726050781631E-2
-8.357646545207E1,2.740835199612E-2
-8.330248402326E1,2.757912571309E-2
-8.310192659270E1,2.775799223245E-2
-8.297532777024E1,2.790889602393E-2
-8.284943571515E1,2.807451524976E-2
-8.269172487487E1,2.832313785874E-2
-8.255984164366E1,2.852650916396E-2
-8.241859943426E1,2.871341911490E-2
-8.219740748773E1,2.898195707731E-2
-8.202760430911E1,2.913354299254E-2
-8.188359462728E1,2.922138251296E-2
-8.171957504767E1,2.927157652462E-2
-8.156355038364E1,2.928412502754E-2
-8.140952391020E1,2.928412502754E-2
-8.123258616937E1,2.929439198447E-2
-8.099053129004E1,2.939363923481E-2
-8.079784058654E1,2.956497665242E-2
-8.067124176408E1,2.971588044390E-2
-8.054534970898E1,2.988149966973E-2
-8.038763886870E1,3.013012227871E-2
-8.025575563749E1,3.033349358393E-2
-8.011451342810E1,3.052040353487E-2
-7.989332148157E1,3.078894149728E-2
-7.972351830295E1,3.094052741251E-2
-7.957950862112E1,3.102836693293E-2
-7.941548904151E1,3.107856094459E-2
-7.925946437748E1,3.109110944751E-2
-7.911543962309E1,3.109110944751E-2
-7.897141486870E1,3.109110944751E-2
-7.882739011431E1,3.109110944751E-2
-7.868336535992E1,3.109110944751E-2
-7.853934060553E1,3.109110944751E-2
-7.839531585114E1,3.109110944751E-2
-7.825129109676E1,3.109110944751E-2
-7.810726634237E1,3.109110944751E-2
-7.796324158798E1,3.109110944751E-2
-7.781921683359E1,3.109110944751E-2
-7.766519036015E1,3.109110944751E-2
-7.748825261932E1,3.110137640444E-2
-7.724619773999E1,3.120062365478E-2
-7.705350703649E1,3.137196107239E-2
-7.688830344812E1,3.156633698560E-2
-7.669747618258E1,3.182442172750E-2
-7.656772127645E1,3.195444644816E-2
-7.640355709256E1,3.199460165750E-2
-7.613908306442E1,3.199460165750E-2
-7.575782583933E1,3.237607614616E-2
-7.555669023867E1,3.261987563139E-2
-7.540308573534E1,3.274751183248E-2
-7.525907605351E1,3.283535135290E-2
-7.509505647390E1,3.288554536457E-2
-7.493903180987E1,3.289809386748E-2
-7.479500705548E1,3.289809386748E-2
-7.465098230109E1,3.289809386748E-2
-7.450695754670E1,3.289809386748E-2
-7.436293279232E1,3.289809386748E-2
-7.421890803793E1,3.289809386748E-2
-7.407488328354E1,3.289809386748E-2
-7.393085852915E1,3.289809386748E-2
-7.378683377476E1,3.289809386748E-2
-7.364280902037E1,3.289809386748E-2
-7.349878426598E1,3.289809386748E-2
-7.335475951159E1,3.289809386748E-2
-7.321073475721E1,3.289809386748E-2
-7.305470793995E1,3.289809386748E-2
-7.289067974745E1,3.289809386748E-2
