#' @name Eryca sensor
#' @note
#' TOCON_Blue.
#' pre-amplified GaP blue light detector.
#' Manufacturer: sglux GmbH, Max-Planck-Str. 3, D-12489 Berlin.
#' Digitized with 'DigitizeIt' from manufacturer's specifications. This are approximate
#' data, both because of the digitizing process, and because they are
#' either typical values or for a particular sensor unit. Individual sensor units
#' are expected to differ to some degree in spectral response.
#'
#' @references
#' sglux ERYCA sensor data sheet
#' \url{http://www.sglux.de/}
#'
angle.deg,response
-8.949783218657E1,1.370666164964E-2
-8.949748021031E1,1.213841184288E-2
-8.949720945933E1,1.093206583768E-2
-8.949687854148E1,9.457642942436E-3
-8.941055557942E1,1.654617274241E-2
-8.936363179995E1,1.819141678756E-2
-8.924582282086E1,2.171585776314E-2
-8.916360196950E1,2.305016896938E-2
-8.906750635139E1,2.428560095167E-2
-8.899115959353E1,2.533304019928E-2
-8.889066973119E1,2.715699527131E-2
-8.878637889832E1,2.911869656104E-2
-8.864687208225E1,3.124414351923E-2
-8.856816264856E1,3.224418299322E-2
-8.848399385159E1,3.326420643417E-2
-8.834779158122E1,3.641639868335E-2
-8.812848388022E1,3.955775018681E-2
-8.804820611474E1,4.062575039773E-2
-8.795257515417E1,4.348535791315E-2
-8.777421124644E1,4.709938284621E-2
-8.764997238839E1,4.793264429230E-2
-8.749130222324E1,4.932059366712E-2
-8.742163003330E1,5.084884087264E-2
-8.731691701217E1,5.479449656016E-2
-8.723804626897E1,5.592936932220E-2
-8.716456400660E1,5.692902469907E-2
-8.709450253467E1,5.795896162120E-2
-8.702755875981E1,5.909125601776E-2
-8.696962477462E1,6.244925193328E-2
-8.686734555691E1,6.397188550060E-2
-8.676810817719E1,6.511376936899E-2
-8.668625897211E1,6.606759480010E-2
-8.661125600747E1,6.705033578993E-2
-8.647455238625E1,7.086349212487E-2
-8.638393017165E1,7.252129107340E-2
-8.629681509354E1,7.370757524793E-2
-8.620748848167E1,7.469834092953E-2
-8.612073470557E1,7.561588753388E-2
-8.598822419370E1,7.871453032983E-2
-8.581579746786E1,8.193885508396E-2
-8.575500812484E1,8.293249472080E-2
-8.557705140671E1,8.671776274290E-2
-8.545549990737E1,8.808807192563E-2
-8.533126104932E1,8.892133337171E-2
-8.517259088417E1,9.030928274654E-2
-8.510291869423E1,9.183752995206E-2
-8.496461448966E1,9.576764302484E-2
-8.484359769138E1,9.742400204845E-2
-8.476331992590E1,9.849200225937E-2
-8.466768896532E1,1.013516097748E-1
-8.459593516274E1,1.039770841607E-1
-8.448512120315E1,1.052309939637E-1
-8.439862360442E1,1.062266937462E-1
-8.431554961664E1,1.073108745548E-1
-8.425841209585E1,1.082949205081E-1
-8.412202465553E1,1.121646508566E-1
-8.398704115260E1,1.139984840691E-1
-8.390348902568E1,1.149049343553E-1
-8.379942035555E1,1.160880584581E-1
-8.370897904808E1,1.174396531456E-1
-8.351076267043E1,1.215384565309E-1
-8.343602603479E1,1.227148377950E-1
-8.322737565499E1,1.274392557846E-1
-8.313254335366E1,1.283814241619E-1
-8.288591397389E1,1.302403448528E-1
-8.279882778467E1,1.311780860643E-1
-8.269391005939E1,1.351720540117E-1
-8.258208465403E1,1.369816893142E-1
-8.248342255023E1,1.383339407072E-1
-8.240455180703E1,1.394688134693E-1
-8.234897762625E1,1.423402988542E-1
-8.227722382366E1,1.449657732401E-1
-8.214725649486E1,1.464612812038E-1
-8.206473518131E1,1.473943031622E-1
-8.199368355143E1,1.483722168328E-1
-8.188069361933E1,1.506640312094E-1
-8.179055873644E1,1.526099009469E-1
-8.161425177317E1,1.550190668377E-1
-8.152734837971E1,1.560292105812E-1
-8.145846769403E1,1.569810143323E-1
-8.125904382723E1,1.613951605969E-1
-8.120156703347E1,1.624545633808E-1
