Line 2 x;Line 2 y
8,920602575286E1;9,287370136160E-1
8,896038215324E1;1,397059830357E0
8,893991185327E1;1,795856828791E0
8,846909495401E1;2,333705463840E0
8,833262628755E1;2,732591349911E0
8,795733745481E1;3,357058373024E0
8,748652055554E1;3,894907008074E0
8,746605025557E1;4,293704006507E0
8,699523335631E1;4,831552641557E0
8,685876468985E1;5,230438527627E0
8,648347585710E1;5,854905550741E0
8,601265895784E1;6,392754185790E0
8,599218865787E1;6,791551184224E0
8,552137175860E1;7,329399819273E0
8,550090145863E1;7,728196817707E0
8,501370831939E1;8,363152582004E0
8,478444095975E1;8,827995186317E0
8,452242112016E1;9,299798215487E0
8,429315376052E1;9,764640819800E0
8,403113392092E1;1,023644384897E1
8,346410661181E1;1,105264621124E1
8,304855952246E1;1,179764539320E1
8,281929216281E1;1,226248799752E1
8,255727232322E1;1,273429102669E1
8,232800496358E1;1,319913363100E1
8,206189106399E1;1,366053680662E1
8,159107416473E1;1,419838544167E1
8,157060386476E1;1,459718244011E1
8,109978696549E1;1,513503107515E1
8,107931666553E1;1,553382807359E1
8,060849976626E1;1,607167670864E1
8,058802946629E1;1,647047370707E1
8,011721256702E1;1,700832234212E1
7,998074390057E1;1,740720822819E1
7,960545506782E1;1,803167525130E1
7,911416786859E1;1,865623116206E1
7,862288066935E1;1,928078707281E1
7,813159347012E1;1,990534298356E1
7,764030627088E1;2,052989889431E1
7,714901907165E1;2,115445480506E1
7,665773187242E1;2,177901071581E1
7,617053873318E1;2,241396648011E1
7,561886414903E1;2,319504698403E1
7,511222422482E1;2,385472475313E1
7,469667713547E1;2,459972393509E1
7,414500255133E1;2,538080443901E1
7,363836262712E1;2,604048220811E1
7,321872147778E1;2,677508153653E1
7,272743427854E1;2,739963744728E1
7,223614707931E1;2,802419335803E1
7,174485988007E1;2,864874926878E1
7,125357268084E1;2,927330517953E1
7,076228548160E1;2,989786109028E1
7,027099828237E1;3,052241700103E1
6,980018138310E1;3,106026563608E1
6,966371271665E1;3,145915152215E1
6,928842388390E1;3,208361854527E1
6,879713668467E1;3,270817445602E1
6,832631978540E1;3,324602309107E1
6,830584948543E1;3,364482008950E1
6,781865634619E1;3,427977585380E1
6,726698176205E1;3,506085635772E1
6,676034183784E1;3,572053412682E1
6,634479474849E1;3,646553330878E1
6,611552738885E1;3,693037591310E1
6,584941348926E1;3,739177908872E1
6,535812629003E1;3,801633499947E1
6,488730939076E1;3,855418363452E1
6,486683909079E1;3,895298063295E1
6,437555189156E1;3,957753654370E1
6,388426469232E1;4,020209245445E1
6,341344779306E1;4,073994108950E1
6,339297749309E1;4,113873808794E1
6,290169029385E1;4,176329399869E1
6,241040309462E1;4,238784990944E1
6,193958619535E1;4,292569854449E1
6,180311752890E1;4,332458443056E1
6,142782869615E1;4,394905145367E1
6,093654149692E1;4,457360736442E1
6,046572459765E1;4,511145599947E1
6,044525429768E1;4,551025299791E1
5,995396709845E1;4,613480890866E1
5,946267989921E1;4,675936481941E1
5,897548675997E1;4,739432058371E1
5,842381217583E1;4,817540108763E1
5,793252497660E1;4,879995699838E1
5,744123777736E1;4,942451290913E1
5,694483300314E1;5,000355965683E1
5,651495670381E1;5,050670028391E1
5,602776356457E1;5,114165604821E1
5,547608898043E1;5,192273655213E1
5,497968420620E1;5,250178329983E1
5,454980790687E1;5,300492392692E1
5,405852070764E1;5,362947983767E1
5,356723350840E1;5,425403574842E1
5,307594630917E1;5,487859165917E1
5,258465910993E1;5,550314756992E1
5,209337191070E1;5,612770348067E1
5,160208471146E1;5,675225939142E1
5,111489157222E1;5,738721515572E1
5,056321698808E1;5,816829565964E1
5,007192978885E1;5,879285157039E1
4,956528986464E1;5,945252933949E1
4,914974277529E1;6,019752852145E1
4,858271546617E1;6,101373088372E1
4,816307431682E1;6,174833021214E1
4,767178711759E1;6,237288612289E1
4,720097021832E1;6,291073475794E1
4,718049991835E1;6,330953175637E1
4,668921271912E1;6,393408766712E1
4,619792551989E1;6,455864357788E1
4,570663832065E1;6,518319948863E1
4,523582142139E1;6,572104812368E1
4,521535112142E1;6,611984512211E1
4,472406392218E1;6,674440103286E1
4,423277672295E1;6,736895694361E1
4,376195982368E1;6,790680557866E1
4,374148952371E1;6,830560257709E1
4,325020232448E1;6,893015848784E1
4,276300918524E1;6,956511425214E1
