angle,response
-8.999955634537E1,-1.205261743908E-3
-8.857515218181E1,-1.811807198561E-5
-8.833971374459E1,-1.053255961791E-4
-8.817234201085E1,-1.335791983860E-4
-8.816967721793E1,-9.429003741460E-5
-8.783734837514E1,1.314531212851E-4
-8.750346994971E1,5.339180358759E-4
-8.718213012790E1,1.210092658869E-3
-8.701525446100E1,1.793607600731E-3
-8.685645652920E1,2.413625412566E-3
-8.667309005688E1,3.496343850893E-3
-8.653983738482E1,4.274185464255E-3
-8.629496910056E1,6.433159525969E-3
-8.618412836318E1,7.565079109610E-3
-8.602029283198E1,9.249292814189E-3
-8.590931242303E1,1.036445102899E-2
-8.573710887970E1,1.203828992171E-2
-8.558076280558E1,1.346039995741E-2
-8.545778285094E1,1.451469872865E-2
-8.533311834319E1,1.556347853414E-2
-8.516331309198E1,1.703666331423E-2
-8.506111303101E1,1.793261327705E-2
-8.491809354636E1,1.932637080579E-2
-8.482271019339E1,2.035178386889E-2
-8.467677646044E1,2.189962950239E-2
-8.444063826424E1,2.488937329670E-2
-8.433080225238E1,2.634436284972E-2
-8.424839193338E1,2.743654541408E-2
-8.406741096582E1,2.983745615563E-2
-8.398956336696E1,3.081055538530E-2
-8.386247364400E1,3.224061962332E-2
-8.369431515329E1,3.402560914978E-2
-8.354581771180E1,3.548992990277E-2
-8.343479362771E1,3.660432010305E-2
-8.333582094894E1,3.773234620191E-2
-8.317235447284E1,3.977164856071E-2
-8.298469630132E1,4.239672016830E-2
-8.290641754010E1,4.352780457244E-2
-8.279055637908E1,4.508315956999E-2
-8.267784574517E1,4.657045947917E-2
-8.255053837483E1,4.835568861467E-2
-8.247514114712E1,4.962034779932E-2
-8.230730139083E1,5.270983260936E-2
-8.220065068259E1,5.490541371359E-2
-8.214564982186E1,5.613176153272E-2
-8.207924070693E1,5.766668050864E-2
-8.195100939007E1,6.031369138913E-2
-8.181758887121E1,6.290044616534E-2
-8.174995331440E1,6.408154899883E-2
-8.165106009609E1,6.551552145748E-2
-8.153185848527E1,6.701481128906E-2
-8.143721499164E1,6.815794362878E-2
-8.133824438022E1,6.936583688710E-2
-8.124843181025E1,7.049399323012E-2
-8.112811050166E1,7.212003822705E-2
-8.103630257356E1,7.348364552069E-2
-8.096147584783E1,7.473014437883E-2
-8.076621304137E1,7.848005615757E-2
-8.071421340670E1,7.953012017204E-2
-8.065187574264E1,8.087617123603E-2
-8.059725311677E1,8.209807953441E-2
-8.054357655735E1,8.324473001613E-2
