Dataset x;Dataset y
"-7,385235787105E1";5,030417805993E-1
"-7,194510125163E1";5,731444166629E-1
"-7,003483545108E1";6,464342770808E-1
"-6,771325220386E1";7,053778664279E-1
"-6,525080166466E1";7,635233958609E-1
"-6,022340035379E1";8,383792842955E-1
"-5,507995749532E1";8,861425118931E-1
"-5,009468472036E1";9,163772593674E-1
"-4,511166883126E1";9,442215885760E-1
"-4,028230925396E1";9,593182741928E-1
"-3,503110009602E1";9,712239739789E-1
"-3,034561699184E1";9,839314951555E-1
"-2,510117849146E1";9,886659401445E-1
"-2,013696998446E1";9,965901171386E-1
"-1,517577065860E1";1,001327069779E0
"-1,007219945020E1";1,006859574682E0
"-5,254876597452E0";1,009207362881E0
"-2,473170747000E-2";9,988024921871E-1
4,928944665547E0;9,955713839412E-1
1,002198373997E1;9,899486036041E-1
1,483328823044E1;9,859219430951E-1
1,993309796243E1;9,874704175552E-1
2,530335784910E1;9,754706808586E-1
3,024875897399E1;9,634747056383E-1
3,518663714604E1;9,435106695324E-1
4,012752449923E1;9,267338577807E-1
4,520326078212E1;9,027845374063E-1
4,998673034707E1;8,692760516200E-1
5,490956261343E1;8,333758937425E-1
5,980531224956E1;7,687907166762E-1
6,482462638613E1;6,850809396586E-1
6,730306320012E1;6,101585984739E-1
6,964815567497E1;5,440023780890E-1
7,073747924658E1;4,977775943478E-1
